 	les	fleurs	de	l'	arbre	okaa	annoncent	la	grande	saison	des	pluies	</S>
n	0.432005	0.240067	0.183745	0.0451665	0.0607303	0.0103398	0.000537796	0.0054085	0.00834549	0.0062327	0.0069014	0.000392882	0.00012809
g	0.329658	0.55924	0.04471	0.0233674	0.0183235	0.00701052	0.000149681	0.00119785	0.00776725	0.00571058	0.00174105	0.00100354	0.000119899
w	0.0917795	0.884914	0.00414264	0.00437465	0.00257285	0.00820243	0.000268342	0.000275094	0.00147584	0.00117333	0.000269596	0.000432075	0.00011944
o	0.00988237	0.907937	0.00887845	0.018764	0.00539997	0.00746129	0.00034756	0.000939733	0.00677057	0.00946802	0.00315742	0.00378175	0.0172118
o	0.0360579	0.769549	0.0874696	0.0446301	0.0120394	0.00731371	0.00892441	0.0028725	0.0052408	0.00482523	0.0025697	0.00249058	0.0160173
n	0.0606548	0.055124	0.516319	0.136975	0.0854802	0.0207147	0.0601078	0.0143676	0.00942767	0.00555473	0.00502946	0.00103301	0.0292117
y	0.072471	0.157142	0.179828	0.11079	0.0724812	0.0377938	0.0976466	0.0653073	0.0444694	0.0370765	0.0193731	0.00165969	0.103962
i	0.0302398	0.40583	0.0705068	0.0642792	0.029201	0.187326	0.106134	0.024977	0.0379377	0.0240527	0.00495958	0.00168992	0.0128659
y	0.0107453	0.0550636	0.204113	0.109846	0.0773732	0.16523	0.236972	0.0333698	0.0560394	0.0261679	0.0113263	0.000984337	0.0127688
é	0.21368	0.084265	0.0940944	0.1115	0.0940191	0.0207657	0.0458706	0.120586	0.102782	0.0598911	0.0222775	0.00971398	0.020554
e	0.0683496	0.0136532	0.165482	0.112259	0.17296	0.0484526	0.0861468	0.112889	0.107518	0.0557505	0.0337003	0.00476892	0.0180716
s	0.012825	0.00686522	0.0172681	0.125863	0.0628614	0.110974	0.258277	0.0931093	0.112428	0.0505745	0.0345073	0.0406661	0.0737819
ε	0.00102027	0.00102822	0.00131998	0.0109178	0.00606309	0.0776859	0.672838	0.0492271	0.0815431	0.0672145	0.0112968	0.00388401	0.0159609
r	0.00074744	0.000948757	0.0106166	0.0236161	0.0136304	0.0127254	0.442846	0.163592	0.13552	0.107267	0.0429573	0.00756877	0.037964
έ	0.00248333	0.00515838	0.0127796	0.0434399	0.063513	0.0171839	0.0484846	0.301334	0.264079	0.134699	0.0629445	0.0193106	0.02459
l	0.00193806	0.000223453	0.0110062	0.0179929	0.0452375	0.00576572	0.0139888	0.179912	0.172036	0.285888	0.226559	0.018949	0.0205028
e	0.00227103	0.00125155	0.00954961	0.028309	0.0256602	0.00419683	0.0186339	0.125961	0.164676	0.199738	0.220156	0.0634157	0.13618
k	0.00285829	0.000899585	0.00616059	0.0118596	0.0138517	0.00488388	0.0115095	0.0311506	0.0906938	0.156573	0.212847	0.341314	0.115398
á	0.00110042	0.00366998	0.00420082	0.0102764	0.0054132	0.00220362	0.00368481	0.0211929	0.0528866	0.0595629	0.0822129	0.692656	0.0609391
a	0.000287639	0.000164449	0.000816452	0.00168566	0.00154485	0.000244815	0.000644711	0.00549507	0.00431211	0.014012	0.0199656	0.706268	0.244558
</S>	0.000433488	0.000243291	0.0013558	0.00286263	0.00292448	0.000935862	0.00193821	0.0252827	0.0295595	0.0601275	0.301981	0.304504	0.267852
