 	c'	est	vraiment	toi	qui	te	prosterne	devant	le	chef	traditionnel	</S>
o	0.325964	0.0884056	0.0588454	0.0515439	0.0471456	0.0502284	0.0873491	0.0467227	0.0370793	0.141919	0.0587571	0.00603966
k	0.000583692	0.00102174	0.000416435	0.000336016	0.00131756	0.00286986	0.941863	0.00567941	0.00712205	0.0146865	0.0160797	0.00802422
ú	7.11498e-06	2.55784e-05	2.46885e-05	6.35978e-06	0.000129254	0.000241323	0.982687	0.00183001	0.00153038	0.0107429	0.0023977	0.000377794
r	1.28888e-05	6.44285e-05	3.94405e-05	3.9908e-05	0.00131151	0.00267976	0.963987	0.00507434	0.00641183	0.0175493	0.00207873	0.000750573
u	0.0019087	0.00113384	0.000891927	0.00169361	0.0032939	0.00763284	0.798172	0.0413042	0.0543392	0.082535	0.00241472	0.00467979
m	0.0196574	0.0358062	0.0537701	0.10248	0.0798476	0.10065	0.0964921	0.159703	0.200029	0.082885	0.040252	0.028428
u	0.109995	0.110486	0.0415762	0.0452532	0.0985733	0.062068	0.0313791	0.180801	0.12537	0.0138177	0.100277	0.0804034
m	0.0133695	0.0207872	0.03341	0.0401651	0.0853175	0.0529176	0.0209371	0.268539	0.15208	0.0254651	0.114884	0.172128
w	0.0183178	0.0548838	0.00963145	0.0140306	0.0509835	0.0155483	0.00598613	0.273528	0.087728	0.0101819	0.334222	0.124958
ε	0.000245133	0.00105561	0.000319312	0.00109692	0.00401347	0.00177427	0.00534124	0.0909963	0.0208672	0.00281776	0.861651	0.00982117
n	0.00207348	0.00516645	0.00160132	0.000733386	0.0176635	0.00842734	0.106479	0.0700701	0.0642521	0.0324166	0.216886	0.474231
έ	0.000878542	0.00117704	0.00143262	0.00490054	0.0618657	0.0722206	0.0471214	0.16111	0.284295	0.0863511	0.0186404	0.260008
l	0.0056667	0.00365363	0.00663277	0.00642764	0.137226	0.150576	0.0190019	0.198474	0.192756	0.0181973	0.00138313	0.260005
í	0.00268004	0.00334488	0.00521278	0.00575528	0.0372935	0.0544707	0.00458374	0.0754827	0.127327	0.0187405	0.00262833	0.66248
n	0.00594588	0.0140195	0.0367051	0.0651467	0.0977998	0.0974508	0.00133868	0.210303	0.310784	0.0352565	0.013824	0.111426
ω	0.000881538	0.00475279	0.0110285	0.181584	0.0484663	0.150162	0.000562375	0.0881684	0.222497	0.00851668	0.00129897	0.282081
</S>	0.000955285	0.00325735	0.0065828	0.0270528	0.0609229	0.040802	0.000568314	0.0632635	0.0598791	0.0185141	0.00202819	0.716174
