 	les	coups	de	poing	qu'	il	a	reçus	lui	ont	fait	gonfler	la	figure	</S>
i	0.718755	0.162877	0.00863506	0.0342875	0.0431615	0.00485311	0.00188951	0.00485576	0.0118874	0.00412075	0.00135314	0.000310639	0.00246707	0.000422533	0.000124328
t	0.144306	0.630008	0.0167859	0.183668	0.00534038	0.000988022	0.00190707	0.00536109	0.00176962	0.00207891	0.00217758	0.0017059	0.00187486	0.000937968	0.00109145
s	0.00541202	0.102875	0.0136005	0.786053	0.00965373	0.00406537	0.00931283	0.0302545	0.0081003	0.00401055	0.00863625	0.00560897	0.00317662	0.00376892	0.00547123
ω	0.0190433	0.0599938	0.0348079	0.587014	0.00881042	0.00511695	0.0123148	0.120506	0.0416071	0.0158326	0.049013	0.0181929	0.0182334	0.00589174	0.00362227
ώ	0.220571	0.132085	0.199663	0.347913	0.052105	0.00742361	0.00697324	0.0118018	0.00835726	0.00257586	0.00207375	0.00118786	0.00254504	0.00146501	0.00326054
m	0.04356	0.0450704	0.451618	0.0858838	0.195419	0.0461912	0.0423048	0.0142706	0.0180098	0.0129889	0.00933631	0.00822678	0.0101437	0.000573865	0.0164029
í	0.0497823	0.00835773	0.164391	0.0544487	0.13354	0.203035	0.190087	0.0396783	0.0685216	0.038827	0.0116734	0.0050739	0.0181088	0.000419183	0.0140564
í	0.0674193	0.052493	0.172796	0.10082	0.066796	0.0816767	0.101707	0.0943381	0.0655383	0.0744992	0.0330834	0.0209806	0.0178187	0.00725496	0.0427785
n	0.00422881	0.0293073	0.103864	0.0494288	0.0308934	0.0765115	0.172705	0.235844	0.029348	0.0616479	0.0782147	0.0689805	0.0304899	0.00477443	0.0237614
ω	0.00346216	0.00825377	0.0428312	0.0130725	0.00700762	0.0322156	0.0460742	0.419103	0.0252874	0.0215825	0.0808047	0.125553	0.0181453	0.0962373	0.0603693
n	0.00276359	0.0460149	0.0548236	0.257692	0.0140379	0.0147875	0.0582356	0.255831	0.0422799	0.0185239	0.0619359	0.098565	0.0231299	0.0295935	0.0217852
g	0.00716569	0.00612317	0.0839941	0.100409	0.0280076	0.0649318	0.0974351	0.271636	0.0406501	0.0112591	0.048981	0.11741	0.0356523	0.00894227	0.0774032
