 	le	maçon	fabrique	les	tuiles	</S>
o	0.884072	0.109834	0.0025918	0.000578326	0.00285065	7.31434e-05
t	0.237826	0.728695	0.0226703	0.00197693	0.00608017	0.00275251
ó	0.298634	0.658451	0.0140066	0.00123097	0.0223896	0.00528751
n	0.123132	0.746946	0.0547111	0.00668059	0.0173977	0.0511317
g	0.53534	0.297298	0.0730437	0.0249334	0.0153524	0.0540321
i	0.412846	0.453831	0.0883973	0.00857968	0.00292452	0.0334215
n	0.391226	0.415567	0.153656	0.0201361	0.000616283	0.0187978
d	0.10157	0.719745	0.081738	0.0194771	0.000580026	0.0768898
é	0.0239507	0.778234	0.14625	0.0143792	0.00189952	0.0352868
e	0.103048	0.378143	0.308265	0.083973	0.00371726	0.122854
l	0.0641301	0.087907	0.454726	0.343812	0.0104417	0.0389828
á	0.0330412	0.0246789	0.189391	0.206747	0.00859449	0.537547
a	0.229631	0.0180194	0.103326	0.499889	0.102095	0.0470408
t	0.0146419	0.0263381	0.460478	0.248869	0.182938	0.0667348
ú	0.000575335	0.00231364	0.506696	0.113253	0.308561	0.068601
b	0.00324077	0.000282123	0.138081	0.116574	0.619355	0.122467
h	0.0487034	0.00201238	0.229042	0.166669	0.368589	0.184984
á	0.0138432	0.000512358	0.0597719	0.137552	0.325594	0.462727
á	0.00203724	0.000912012	0.022883	0.176119	0.520281	0.277768
t	0.0282754	0.0102139	0.0360535	0.24788	0.157405	0.520172
s	0.00455813	0.00136498	0.040856	0.0597879	0.81373	0.0797027
e	0.000338142	0.000270982	0.0191453	0.0330618	0.911681	0.0355024
s	0.000458249	0.000406775	0.020453	0.0527159	0.679877	0.246089
e	0.000897463	0.000567337	0.0173596	0.0844825	0.589206	0.307487
</S>	0.0157917	0.00145573	0.011883	0.0896193	0.0410665	0.840184
