 	j'	ai	cueilli	une	mangue	qui	commence	à	mûrir	</S>
n	0.840766	0.111626	0.00174512	0.031821	0.00695064	0.00142021	0.00138572	0.00379041	0.000206571	0.000288092
g	0.954816	0.0288593	0.000810279	0.00922704	0.0035462	0.000735669	0.000224812	0.00160519	0.000123576	5.1859e-05
á	0.875605	0.102333	0.00405713	0.00632549	0.00966546	0.000281812	0.00064053	0.000580637	0.0004591	5.15976e-05
í	0.155196	0.403481	0.0499737	0.0561449	0.00596314	0.0290343	0.0217905	0.0281145	0.0071127	0.243188
t	0.0135064	0.513213	0.443014	0.00718295	0.00136768	0.00488678	0.0121204	0.000660559	0.000428748	0.00362012
ú	0.000543186	0.0751938	0.891798	0.0225702	7.44661e-05	0.0017226	0.00477087	0.000249112	0.000621754	0.00245566
s	0.00312973	0.100384	0.622096	0.264311	0.000192481	0.00231261	0.00300859	0.00234386	0.000496792	0.00172512
u	0.0095322	0.188877	0.692368	0.0923946	0.000276201	0.00555658	0.0019161	0.00500138	0.00259462	0.00148357
m	0.211555	0.116735	0.0347753	0.207841	0.33196	0.0400164	0.0169373	0.020693	0.00408175	0.0154057
b	0.00321585	0.00834296	0.0107068	0.135585	0.604124	0.0953775	0.0515443	0.0141059	0.0697045	0.00729288
á	0.001303	0.00028691	0.00169776	0.0351505	0.931175	0.00784221	0.0132698	0.00077576	0.0077307	0.000768178
n	0.00213313	0.000829512	0.000975677	0.00458526	0.947216	0.00377513	0.0273488	0.000573505	0.0017338	0.0108296
g	0.043697	0.0222317	0.0161942	0.145743	0.696949	0.011949	0.0114349	0.0109209	0.0140032	0.0268771
é	0.0149488	0.0181501	0.0255941	0.274838	0.570985	0.0203733	0.0213114	0.00963922	0.0166112	0.0275488
y	0.0148255	0.0899308	0.0168029	0.205556	0.0350787	0.350831	0.0870204	0.143542	0.0114949	0.0449175
o	0.00270525	0.0123751	0.0192032	0.321869	0.00638855	0.297097	0.0448176	0.122657	0.128858	0.0440296
y	0.000301264	0.00383679	0.0149544	0.291325	0.0019757	0.30211	0.0768765	0.155255	0.104394	0.0489716
a	0.00211114	0.0142798	0.0982679	0.210865	0.0113545	0.21076	0.0187215	0.0620514	0.346291	0.0252977
a	0.000508449	0.0038181	0.0190199	0.227078	0.00721378	0.250899	0.0596474	0.212518	0.107532	0.111765
n	0.000269152	0.00483079	0.004444	0.0208304	0.000522844	0.371341	0.204658	0.224841	0.0145506	0.153712
d	0.008025	0.015545	0.00774814	0.0477279	0.0222944	0.253223	0.0823902	0.225309	0.0641773	0.27356
í	0.000474017	0.00111408	0.00456749	0.0188046	0.0050705	0.139421	0.0748517	0.139461	0.260562	0.355674
</S>	4.8226e-05	0.00174052	0.0100793	0.0446601	0.00117358	0.129216	0.105141	0.139188	0.124265	0.444488
