 	j'	ai	mal	à	la	dent	</S>
n	0.440291	0.0629523	0.0865572	0.108447	0.179539	0.118013	0.00420043
g	0.501486	0.0279601	0.190826	0.104944	0.1477	0.0181193	0.00896441
á	0.712262	0.117461	0.142908	0.0144207	0.00870342	0.0036976	0.000547427
d	0.0403473	0.101028	0.17752	0.131292	0.188103	0.345273	0.0164363
í	0.053038	0.272521	0.12158	0.10396	0.0409385	0.0455668	0.362396
n	0.482623	0.0974409	0.194445	0.0725553	0.0601831	0.00246116	0.0902917
a	0.546817	0.146645	0.214849	0.0245785	0.0264757	0.000928881	0.0397066
l	0.0173991	0.277986	0.343755	0.163984	0.105633	0.0068784	0.0843649
í	0.0525185	0.27023	0.128279	0.0906451	0.054033	0.032566	0.371728
i	0.199735	0.196966	0.209168	0.172066	0.119145	0.0278401	0.0750791
l	0.00430554	0.260583	0.207766	0.121828	0.0467938	0.18041	0.178314
a	0.000794168	0.238904	0.277917	0.221274	0.030206	0.0336305	0.197274
n	0.00038688	0.0815266	0.26965	0.330026	0.0919415	0.0631148	0.163354
d	0.000643464	0.10222	0.178827	0.116593	0.0751278	0.0702634	0.456325
a	0.000514035	0.0481453	0.150743	0.109264	0.0778079	0.0925135	0.521013
</S>	0.00219523	0.0377047	0.0937265	0.164559	0.220291	0.0547595	0.426764
