 	beanzambe	s'	est	déjà	réveillé	</S>
b	0.777297	0.202878	0.013122	0.00394987	0.00211313	0.000639141
e	0.79217	0.183871	0.0119768	0.00818545	0.00276064	0.00103566
á	0.453748	0.351311	0.0713226	0.078102	0.00193224	0.0435833
n	0.184397	0.358554	0.218452	0.0527729	0.00730075	0.178523
d	0.534982	0.262892	0.0722505	0.00648905	0.00373556	0.119651
z	0.759652	0.118164	0.0343985	0.00653875	0.00491938	0.0763279
a	0.912484	0.028134	0.00988193	0.00287951	0.00572852	0.0408925
m	0.482464	0.128415	0.072817	0.0165294	0.023419	0.276355
b	0.145192	0.571876	0.244602	0.0101958	0.00566833	0.0224665
é	0.570723	0.19352	0.0833668	0.0148939	0.00962134	0.127875
á	0.00603991	0.17152	0.505863	0.17007	0.0288376	0.117669
m	0.000994361	0.0544499	0.330283	0.455547	0.046608	0.112117
i	0.00482613	0.0200476	0.114994	0.719684	0.0448171	0.0956304
s	0.000843564	0.00337685	0.0414733	0.800746	0.111119	0.0424409
á	0.00283255	0.00315348	0.0315591	0.833833	0.0758175	0.0528048
á	0.00152014	0.0139353	0.127625	0.265011	0.131945	0.459963
o	0.00389705	0.0203174	0.19455	0.191557	0.477221	0.112457
l	0.00183263	0.000866018	0.00519729	0.0581397	0.906079	0.0278855
a	0.000848455	0.001326	0.00915246	0.0790116	0.87155	0.0381113
a	0.00104056	0.00232538	0.0314314	0.102259	0.576378	0.286566
n	0.00135115	0.0127139	0.0729231	0.0651028	0.35217	0.495739
g	0.0272857	0.0286896	0.0519479	0.0217272	0.337012	0.533337
á	0.032758	0.0397498	0.0922447	0.0210334	0.128153	0.686061
ó	0.00403025	0.0116574	0.0514997	0.03135	0.455521	0.445942
f	0.00935853	0.0104286	0.0502994	0.183618	0.580001	0.166294
u	0.0043835	0.0122443	0.0284711	0.0305562	0.798651	0.125694
l	0.00126094	0.000271258	0.00208107	0.00613452	0.162219	0.828034
ú	0.00324707	0.00284706	0.0121055	0.0166391	0.333529	0.631632
</S>	0.00301904	0.010526	0.0378503	0.0221107	0.285689	0.640805
