 	les	gens	l'	apprécient	pour	sa	façon	de	travailler	</S>
b	0.78946	0.191991	0.00444515	4.64914e-05	0.00162356	0.000594493	0.00107454	0.0101771	0.00055865	2.96888e-05
a	0.0948994	0.872091	0.0162694	0.000145633	0.00313053	0.00255899	0.00230375	0.00777555	0.000416357	0.000409207
r	0.12586	0.862333	0.00352689	5.34587e-05	0.000662291	0.00191648	0.0024122	0.00156899	0.000199089	0.00146809
e	0.352941	0.625185	0.00418024	0.00031312	0.00102277	0.00167	0.00124601	0.00192677	0.000341695	0.011173
b	0.138884	0.104256	0.617646	0.0238151	0.0276676	0.00726628	0.0177782	0.0142439	0.00489393	0.043549
á	0.0470581	0.114624	0.518953	0.00239389	0.126069	0.0626038	0.0621652	0.0353059	0.00107292	0.0297553
a	0.14574	0.221594	0.433016	0.062525	0.0301668	0.0202336	0.0167261	0.0254999	0.00683525	0.0376633
y	0.0108306	0.0251098	0.280452	0.62476	0.0223628	0.00557182	0.00441418	0.0030769	0.00299131	0.0204304
w	0.00102215	0.000598488	0.0161016	0.978853	0.000349975	0.000121569	4.48886e-05	0.000125739	0.000432376	0.00235028
o	0.00340127	0.00167011	0.0479512	0.906978	0.0177432	0.00830364	0.00121548	0.000740398	0.00148756	0.0105087
o	0.0252966	0.0206123	0.166448	0.617873	0.131336	0.011099	0.00411741	0.0019073	0.00259111	0.0187195
s	0.0166908	0.00455566	0.27486	0.282119	0.355395	0.0275785	0.0174328	0.00445001	0.00216651	0.0147518
á	0.00231454	0.000456445	0.0575534	0.530291	0.117033	0.126454	0.0460774	0.0304092	0.020763	0.0686485
w	0.0102998	0.00682129	0.0537632	0.22046	0.261784	0.174068	0.0795984	0.0722715	0.066342	0.0545912
a	0.00505645	0.0075509	0.049197	0.0141457	0.175641	0.493779	0.138841	0.064636	0.00821332	0.0429392
m	0.00222408	0.00110996	0.14874	0.0295543	0.392747	0.189083	0.125168	0.0580735	0.0116346	0.0416657
é	0.00338022	0.000408375	0.0134695	0.0276688	0.270428	0.260903	0.15182	0.0539099	0.0104158	0.207596
s	0.00874323	0.00274326	0.0239701	0.0305429	0.212571	0.179339	0.143493	0.119195	0.196655	0.0827483
á	0.000364206	2.4793e-05	0.00111411	0.0153833	0.00548919	0.0215749	0.0136189	0.0259087	0.814283	0.102238
l	0.000960413	0.000143961	0.00136115	0.00242398	0.00584351	0.0233632	0.0397423	0.152296	0.58167	0.192195
í	0.000294961	0.000275737	0.00192187	0.00200134	0.0104056	0.0444419	0.0555283	0.146487	0.634261	0.104382
l	0.000205547	0.000100758	0.00156519	0.00210253	0.00713691	0.0159148	0.0276123	0.134	0.677544	0.133818
í	0.00036225	0.000204624	0.00217159	0.00410865	0.00950693	0.0258146	0.0229195	0.0789391	0.701106	0.154866
y	0.000354606	8.8183e-05	0.00256143	0.00200441	0.00724991	0.0208743	0.032504	0.240467	0.518056	0.17584
á	0.00092344	0.000332237	0.00877109	0.0593354	0.0189495	0.0336601	0.0307033	0.19179	0.470383	0.185151
w	0.000252495	4.84954e-05	0.00176761	0.00158608	0.0050895	0.0146099	0.028546	0.29062	0.324904	0.332577
a	0.00265379	0.0030317	0.00417467	0.00229151	0.0259462	0.113571	0.09312	0.436216	0.205094	0.113901
</S>	0.000167556	4.82398e-05	0.0008167	0.00165896	0.00726527	0.0159535	0.0293691	0.142368	0.18289	0.619462
