 	ce	safoutier	a	donné	des	fruits	</S>
o	0.891242	0.0716735	0.0305951	0.00273119	0.00203897	0.00131244	0.000406577
s	0.000938967	0.998453	0.000412936	0.000137266	1.50205e-05	2.76266e-05	1.5462e-05
á	0.00744369	0.991536	0.000527583	0.000163185	3.60482e-05	7.42056e-05	0.000219117
á	0.0015232	0.992464	0.000822723	0.000470766	0.000115791	0.000146668	0.00445694
b	0.490774	0.0663471	0.373233	0.0361973	0.0109632	0.000847238	0.0216382
v	0.605569	0.00135627	0.108973	0.0420313	0.120267	0.0466825	0.0751203
ú	0.18314	0.0302277	0.187357	0.131515	0.109119	0.153425	0.205215
ó	0.181238	0.0619791	0.415399	0.0652665	0.186541	0.0533489	0.0362274
m	0.0350829	0.00827453	0.254527	0.407917	0.176941	0.0736587	0.0435981
i	0.0970598	0.000811056	0.0493142	0.0269779	0.42622	0.204187	0.19543
b	0.00632859	0.0010371	0.0131082	0.0459306	0.193707	0.638453	0.101435
o	0.00272017	0.000745819	0.0026842	0.0157507	0.0352696	0.896055	0.046774
n	0.00223874	0.0206606	0.0536519	0.0608335	0.089762	0.554568	0.218286
d	0.0243046	0.0134043	0.0460496	0.166485	0.158966	0.304861	0.28593
a	0.027395	0.00563135	0.0516041	0.0547432	0.0593866	0.370161	0.431079
</S>	0.033393	0.00116971	0.0942406	0.0737761	0.203483	0.124845	0.469092
