 	cette	pointe	fait	saillie	</S>
t	0.153864	0.833305	0.0118678	0.000442578	0.00052133
s	0.0878354	0.906452	0.00489631	0.000392397	0.000424408
έ	0.0344742	0.950028	0.000939431	0.00170956	0.0128488
r	0.112362	0.686467	0.0278123	0.00343858	0.169921
έ	0.0544781	0.859543	0.0339136	0.00284973	0.0492153
w	0.0578404	0.054588	0.846345	0.00899596	0.0322308
o	0.327315	0.113322	0.34954	0.0190363	0.190786
a	0.148998	0.0237117	0.448232	0.143273	0.235785
d	0.0105632	0.00763947	0.731769	0.179155	0.070874
i	0.00764022	0.00296967	0.223945	0.0114578	0.753987
p	0.00642074	0.00192188	0.190789	0.517209	0.283659
á	0.000272894	0.00194874	0.00516661	0.939128	0.0534841
l	0.000429089	0.00790687	0.00980114	0.973429	0.00843413
á	0.000264135	0.00201798	0.00708784	0.912882	0.0777485
l	0.0110653	0.00821018	0.23464	0.12928	0.616805
á	0.00245707	0.00520315	0.0493934	0.117481	0.825466
</S>	0.0695357	0.0145628	0.215789	0.0779879	0.622125
