 	mon	fils	est	tenu	responsable	pour	tout	ce	qui	se	perd	dans	ce	village	</S>
b	0.0476285	0.0818169	0.0562489	0.237225	0.398467	0.0706161	0.0269559	0.0121915	0.011691	0.0303675	0.0103229	0.0126955	0.00280154	0.000634685	0.000337223
e	0.0757674	0.459989	0.0700268	0.0356204	0.0154478	0.0352661	0.0510497	0.0543655	0.029223	0.0796357	0.0610612	0.017471	0.0129313	0.000773465	0.00137121
a	0.00848513	0.0217394	0.15853	0.0978138	0.0369695	0.0624532	0.0928903	0.0414031	0.0470731	0.162083	0.111639	0.129151	0.012794	0.000368358	0.0166073
í	0.0549337	0.144119	0.237376	0.124326	0.0370512	0.0351801	0.0287811	0.0287392	0.0469434	0.0762118	0.012291	0.0424768	0.0150916	0.000545417	0.115933
t	0.0801808	0.0645179	0.326327	0.0670997	0.012877	0.0155164	0.0280059	0.0285967	0.0572706	0.0866977	0.0691642	0.0989487	0.0319222	0.00512482	0.0277505
s	0.00380217	0.0242636	0.23258	0.145297	0.03608	0.029461	0.103395	0.0650394	0.0782835	0.0763134	0.100932	0.0325776	0.01413	0.0156853	0.0421607
ω	0.0470411	0.029226	0.0772183	0.125074	0.0355997	0.0493646	0.134356	0.1237	0.110744	0.0826594	0.0973845	0.0477198	0.0150765	0.00473398	0.0201019
b	0.0176283	0.0357235	0.245476	0.336318	0.121231	0.0240009	0.0465319	0.0387663	0.0392009	0.0295742	0.013257	0.00817145	0.00437838	0.00102273	0.0387206
í	0.0511941	0.00679324	0.0339193	0.155886	0.171229	0.139275	0.167231	0.0590864	0.0363848	0.0514952	0.0685155	0.0155798	0.00926816	0.00119231	0.0329511
í	0.0233959	0.0231718	0.0835003	0.202932	0.143539	0.0921099	0.152093	0.0488528	0.0345174	0.0579329	0.0465262	0.0182391	0.00639788	0.000350671	0.0664407
l	0.00302853	0.00420496	0.130911	0.0980098	0.134409	0.157967	0.111549	0.0597559	0.0786131	0.0649261	0.0292702	0.0596465	0.0230618	0.000540231	0.0441071
é	0.0104013	0.00236192	0.0498431	0.0211071	0.0151522	0.11862	0.123165	0.117013	0.16553	0.0714367	0.0462154	0.0574718	0.042737	0.00188841	0.157056
m	0.00660797	0.00213667	0.0386992	0.0332605	0.0198778	0.103194	0.128029	0.167314	0.263007	0.0795312	0.071229	0.0352531	0.0241011	0.00144665	0.026312
b	0.00742998	0.0387278	0.0214081	0.00355706	0.0143047	0.0449792	0.0812635	0.4483	0.176017	0.0397306	0.0630217	0.023019	0.0222237	0.000652997	0.0153648
á	0.000956775	0.0597451	0.0213409	0.00480005	0.00346643	0.0134253	0.0336042	0.334439	0.151645	0.0712467	0.250088	0.0293454	0.00480301	0.000997139	0.020098
s	0.00606992	0.00434752	0.02504	0.0083189	0.0178716	0.0777719	0.129037	0.214991	0.0923915	0.126367	0.166147	0.0346261	0.0127012	0.000149821	0.0841694
á	0.0225218	0.000652461	0.00723803	0.00533795	0.00795141	0.0577194	0.0867869	0.294899	0.215243	0.0389587	0.204741	0.0192237	0.0107248	0.000441774	0.0275609
p	0.00262661	0.00094939	0.00476631	0.00319214	0.0110221	0.0901679	0.146959	0.196892	0.245493	0.148605	0.0598804	0.0378521	0.0395958	0.00605594	0.00594292
o	0.00162562	0.000379269	0.00807422	0.00931607	0.0101569	0.0467575	0.292604	0.157029	0.115542	0.129207	0.0423446	0.019523	0.0110242	0.130702	0.0257147
o	0.00049668	0.000189536	0.00222773	0.0043321	0.00266187	0.0178617	0.119652	0.143256	0.166114	0.0702617	0.0427895	0.0201803	0.0111678	0.388964	0.00984478
y	0.000424861	0.00010387	0.00605962	0.00427551	0.00522801	0.0313736	0.0250783	0.0387429	0.0988228	0.136405	0.0890329	0.339367	0.201235	0.00648517	0.0173647
é	0.0105776	0.000437384	0.0216637	0.00831044	0.00843685	0.0671551	0.0730958	0.148735	0.259447	0.102172	0.0688488	0.0698804	0.121664	0.0200082	0.0195678
á	0.00160007	0.000165637	0.00580062	0.00365004	0.00728391	0.078396	0.0631749	0.0900495	0.162476	0.101889	0.0606769	0.109566	0.203934	0.0343327	0.0770045
b	0.00270168	0.000919108	0.0149552	0.00485359	0.00336634	0.0104017	0.0103909	0.013778	0.0394145	0.0559633	0.106699	0.400223	0.212527	0.0432155	0.0805911
h	0.00010696	0.00268616	0.0148201	0.0108036	0.0110397	0.0343043	0.0188361	0.0131906	0.0226108	0.240576	0.151778	0.373271	0.0413878	0.000922552	0.0636671
e	0.00124679	0.00144493	0.0131083	0.0147024	0.0205049	0.0703382	0.0568546	0.0470517	0.0479217	0.150514	0.137419	0.324559	0.0373089	0.00152825	0.0754973
á	0.000685212	0.000360935	0.00504847	0.00336085	0.00624674	0.0177633	0.0158995	0.0273694	0.0441443	0.0609906	0.147313	0.323018	0.0697654	0.0546849	0.223349
b	0.00761405	0.00164227	0.00614067	0.00642139	0.0132388	0.0328507	0.0198314	0.0183485	0.0284849	0.0445394	0.0729826	0.12631	0.35554	0.163344	0.102712
á	0.00106331	0.000920774	0.00883445	0.0250595	0.0458651	0.0601897	0.0336605	0.0122919	0.0168343	0.312799	0.127958	0.261047	0.0424631	0.00312729	0.0478861
a	0.00221503	0.000788093	0.0075829	0.0294272	0.0411169	0.0796924	0.0813118	0.0286527	0.0320582	0.275651	0.083776	0.122125	0.0823233	0.0148629	0.118416
y	0.00061629	0.000904183	0.00886619	0.00769618	0.00558716	0.0110289	0.00958336	0.00719234	0.0136743	0.0289211	0.0368342	0.190279	0.152275	0.0393164	0.487225
í	0.000301331	0.000308215	0.0039409	0.00148213	0.000470102	0.00447931	0.00752358	0.0316091	0.0689282	0.0149584	0.0837225	0.0779927	0.129414	0.442433	0.132436
n	0.000298708	0.000118571	0.001326	0.000923368	0.000538115	0.00614452	0.00851328	0.0207781	0.0363183	0.0126252	0.0328873	0.0740586	0.101204	0.161693	0.542573
d	0.00246071	0.000178318	0.00348401	0.00161373	0.00115453	0.0127067	0.0131014	0.0279199	0.0687219	0.0578651	0.226937	0.0887631	0.212864	0.0538487	0.228381
