 	celui	qui	construit	des	murs	de	cette	case	est	maladroit	</S>
o	0.812423	0.0494609	0.0229401	0.0333917	0.0205818	0.0190855	0.0187987	0.0139273	0.00856226	0.000413081	0.000415618
l	0.0815163	0.262515	0.465543	0.0224521	0.0302749	0.00971779	0.0253589	0.011108	0.0108963	0.0656303	0.0149869
a	0.0119623	0.0610706	0.502358	0.0115856	0.0117635	0.0184254	0.061142	0.00351179	0.010035	0.209824	0.0983224
n	0.00774242	0.0776628	0.514687	0.0207238	0.0225267	0.0169874	0.0186285	0.00759825	0.0120652	0.132515	0.168862
d	0.236025	0.17061	0.311875	0.0834058	0.0480049	0.0304491	0.0214697	0.0204446	0.0183262	0.00679156	0.0525993
i	0.140447	0.0949365	0.330422	0.0740443	0.0658198	0.0408766	0.0395318	0.0192513	0.0193283	0.0058078	0.169535
n	0.0795811	0.0295548	0.140764	0.316434	0.149379	0.0828492	0.0407174	0.126288	0.0209491	0.00357542	0.00990788
d	0.0470518	0.0497702	0.192461	0.133535	0.203037	0.0414283	0.0377787	0.242642	0.0134053	0.0100042	0.0288866
é	0.00497479	0.00585845	0.0594321	0.0958252	0.302524	0.032893	0.074544	0.337707	0.00591234	0.0594581	0.0208712
e	0.00916113	0.0162638	0.0308526	0.17763	0.188657	0.186615	0.176766	0.142361	0.0446791	0.0143556	0.0126583
y	0.00550268	0.0328462	0.0156454	0.0887732	0.0989731	0.286519	0.186296	0.102107	0.168697	0.00268203	0.0119585
é	0.0038509	0.033751	0.0176321	0.0684831	0.0991527	0.166831	0.23344	0.179906	0.144491	0.0089104	0.0435521
a	0.00216968	0.010872	0.00265597	0.0483761	0.0513527	0.151764	0.180941	0.382991	0.151229	0.00766686	0.00998251
d	0.0016811	0.00930904	0.00464113	0.039792	0.0801933	0.114569	0.161906	0.230648	0.266084	0.0405628	0.0506138
í	0.000871279	0.00956472	0.00132935	0.0182968	0.0386207	0.0784161	0.207726	0.134912	0.307383	0.0297467	0.173133
l	0.000871285	0.00453323	0.000688387	0.0313677	0.0268017	0.0937334	0.134085	0.266521	0.350211	0.0367163	0.0544718
i	0.00041733	0.0014382	0.00203066	0.010527	0.0179888	0.0666776	0.101824	0.136841	0.277147	0.0754236	0.309686
n	0.000485798	0.000883125	0.00151842	0.0132466	0.0135449	0.0373854	0.0823728	0.027703	0.0659642	0.659539	0.0973566
g	0.000107247	0.0003614	0.00293893	0.00397705	0.015442	0.00791267	0.0487539	0.182756	0.0161452	0.681013	0.0405924
o	9.82914e-05	0.000384315	0.00271451	0.00306892	0.0149304	0.00692708	0.0305875	0.10298	0.00861405	0.816531	0.0131643
n	1.80191e-06	3.13085e-05	0.00153494	0.0022131	0.00395491	0.00565	0.0393127	0.0156974	0.00218262	0.856543	0.0728779
y	5.77723e-05	0.000601609	0.00197633	0.00403309	0.00999138	0.019032	0.107509	0.024975	0.0316878	0.599195	0.200941
á	4.60655e-05	0.000204903	0.00102411	0.00394659	0.0152039	0.022858	0.118207	0.0388808	0.0249649	0.300152	0.474512
</S>	0.000193917	0.00080098	0.00106357	0.00872973	0.0136571	0.0411048	0.061454	0.0273648	0.113498	0.150812	0.581321
