 	il	faut	répondre	quand	on	t'	appelle	</S>
w	0.647814	0.327639	0.0083923	0.00394656	0.0042058	0.00701203	0.00090144	8.90347e-05
á	0.636634	0.312391	0.0118295	0.00656881	0.0058129	0.0189397	0.00773991	8.36133e-05
á	0.155107	0.53076	0.0543575	0.0441483	0.0412422	0.00949582	0.0161567	0.148733
á	0.0959321	0.246693	0.360758	0.0414093	0.0478417	0.0646244	0.0102595	0.132482
b	0.00942019	0.0843429	0.742831	0.0689091	0.0500628	0.0152084	0.00628174	0.0229442
é	0.0129824	0.0346816	0.87022	0.0284863	0.0286767	0.00475405	0.00130106	0.0188979
í	0.0126093	0.0392328	0.708773	0.0703058	0.074034	0.0278738	0.00893372	0.0582379
n	0.217398	0.0825703	0.517788	0.128819	0.0172765	0.0143695	0.0035249	0.0182533
ω	0.138505	0.0649578	0.5934	0.0848128	0.0114406	0.0876482	0.00426364	0.014972
k	0.0497844	0.093244	0.240345	0.355672	0.116919	0.0529908	0.0267533	0.0642918
á	0.0639247	0.317385	0.15538	0.317018	0.042758	0.00295018	0.0774555	0.023128
a	0.0824885	0.178145	0.208919	0.0967877	0.083734	0.00660897	0.109807	0.23351
l	0.0106251	0.0214495	0.108098	0.480157	0.212845	0.102489	0.0251451	0.0391911
á	0.00813877	0.0144099	0.264563	0.375943	0.0994893	0.0516336	0.0173457	0.168477
o	0.055117	0.049969	0.299986	0.157106	0.081957	0.239404	0.0421023	0.0743597
y	0.000354782	0.000595441	0.0558844	0.221974	0.576822	0.0338759	0.0942486	0.0162449
a	7.79313e-05	0.00192002	0.0544234	0.180812	0.422253	0.251442	0.0383113	0.0507601
m	0.000202009	0.000779224	0.0151445	0.114774	0.310723	0.0709507	0.0675083	0.419918
b	0.000818034	0.00111372	0.00580327	0.116897	0.326624	0.0455565	0.165378	0.337809
a	0.00108794	0.0016149	0.00324025	0.0431328	0.126552	0.0274318	0.212662	0.584279
</S>	0.00300539	0.00110833	0.00994102	0.0554152	0.185967	0.219778	0.143564	0.381221
