 	allonge-toi	sur	le	lit	</S>
s	0.738259	0.238801	0.0217218	0.00105623	0.000161215
é	0.73794	0.198023	0.0422583	0.00239186	0.0193868
m	0.901971	0.0864459	0.00680805	0.00143328	0.00334221
b	0.177924	0.287217	0.124664	0.029303	0.380893
á	0.415383	0.370508	0.0698911	0.0545803	0.0896374
n	0.239969	0.488645	0.162107	0.0241621	0.0851174
d	0.493723	0.404891	0.0697399	0.00517918	0.0264661
z	0.282922	0.443342	0.195583	0.0262012	0.0519522
ó	0.458902	0.36346	0.058786	0.0217268	0.0971257
r	0.10328	0.286399	0.256378	0.0399923	0.31395
o	0.465483	0.374099	0.0816058	0.0193313	0.0594809
m	0.0418754	0.11525	0.704551	0.0466506	0.0916736
ó	0.0542206	0.153854	0.228768	0.208824	0.354333
o	0.0601391	0.0883725	0.381359	0.363607	0.106522
b	0.0411637	0.0210036	0.0800517	0.720462	0.137319
é	0.00844824	0.0376147	0.0610447	0.847926	0.0449666
é	0.0224165	0.0131246	0.0597929	0.444878	0.459788
</S>	0.0140889	0.0159065	0.335687	0.165955	0.468363
