 	les	bananes	sont	bonnes	</S>
a	0.498369	0.486199	0.0149797	0.000382865	6.91754e-05
k	0.108924	0.807784	0.0606329	0.0170419	0.0056162
ω	0.0303128	0.840045	0.0299525	0.0671836	0.0325063
á	0.0721456	0.664209	0.203767	0.0277366	0.0321425
d	0.0899123	0.00725918	0.757734	0.0170166	0.128078
í	0.0104473	0.000511116	0.127816	0.00460967	0.856616
a	0.0814632	0.00429319	0.510539	0.0744902	0.329214
b	0.0899198	0.00811891	0.387482	0.273278	0.241202
v	0.00575317	0.0171001	0.0869512	0.818649	0.0715468
έ	0.0154098	0.00256643	0.113539	0.807969	0.060515
</S>	0.0135235	0.000610548	0.116532	0.156155	0.713179
