 	les	mouches	envahissent	la	viande	</S>
a	0.62387	0.357009	0.0127395	0.00553871	0.000672361	0.000170538
k	0.100885	0.888839	0.0033288	0.00263005	0.00294416	0.00137319
i	0.00740751	0.989078	0.000514984	0.00102904	0.000926486	0.00104354
n	0.0214005	0.944599	0.0190654	0.00797198	0.00153714	0.00542648
y	0.101704	0.880461	0.00797883	0.00434956	0.000588925	0.00491783
i	0.31044	0.479892	0.0476233	0.0400582	0.0152287	0.106758
m	0.406203	0.198811	0.164706	0.195368	0.00299156	0.0319206
á	0.271957	0.00751058	0.427961	0.207719	0.0423378	0.0425143
a	0.455975	0.0278374	0.266931	0.208363	0.0287646	0.0121297
b	0.0563242	0.0665065	0.347944	0.420969	0.0637378	0.0445179
h	0.048492	0.124548	0.547699	0.192432	0.0376007	0.0492279
í	0.0350758	0.0758166	0.736508	0.0798947	0.0200886	0.0526166
n	0.0357316	0.00566748	0.570109	0.228409	0.0261752	0.133908
g	0.0551238	0.0243221	0.41587	0.259189	0.099305	0.14619
á	0.0252784	0.0220297	0.451206	0.143697	0.261205	0.0965846
n	0.0236343	0.00515583	0.106905	0.375682	0.379451	0.109172
y	0.00723141	0.00103765	0.0816053	0.166204	0.661677	0.0822444
a	0.00118426	9.91317e-05	0.00509389	0.0345942	0.907268	0.0517606
m	0.00734233	0.00703891	0.0506324	0.1738	0.459912	0.301275
a	0.0410717	0.00869521	0.0883561	0.103682	0.363925	0.39427
</S>	0.0176996	0.00326769	0.0195887	0.149156	0.0596024	0.750686
