 	la	pluie	d'	hier	a	fait	déborder	la	rivière	</S>
m	0.711763	0.223054	0.0360741	0.0136601	0.00784357	0.00444889	0.000257525	0.00214296	0.0005786	0.000176765
v	0.0952396	0.823604	0.059126	0.00112075	0.00609702	0.00379262	0.00130868	0.00268068	0.000303689	0.00672668
ú	0.0752807	0.919154	0.00374385	0.000221845	0.000518953	0.000585583	2.68595e-05	0.000100658	0.000207505	0.000160237
á	0.120351	0.703383	0.0526363	0.00972308	0.00831588	0.0138076	0.00228901	0.0052737	0.00796312	0.0762575
y	0.133257	0.130998	0.507385	0.0747415	0.0767587	0.0222565	0.00992645	0.0076826	0.00116691	0.0358273
e	0.281975	0.19202	0.193174	0.104366	0.0861542	0.0415421	0.0579768	0.0124993	0.00254142	0.0277504
e	0.091086	0.0410214	0.466536	0.170633	0.12426	0.0502806	0.0134148	0.00729809	0.00170161	0.0337677
n	0.0223591	0.0993813	0.146714	0.351221	0.0362617	0.0808683	0.143244	0.022601	0.00883178	0.088518
ώ	0.141559	0.235936	0.105881	0.028515	0.0332684	0.138545	0.226928	0.0214213	0.00742716	0.0605197
í	0.0498408	0.0675428	0.241012	0.128069	0.067537	0.220563	0.13836	0.0428696	0.00863847	0.0355677
l	0.0418575	0.00828219	0.303234	0.189825	0.282512	0.109536	0.0187235	0.0165809	0.00173913	0.0277093
a	0.0138776	0.0102368	0.169379	0.323451	0.152598	0.120724	0.0259492	0.0365504	0.0117194	0.135515
p	0.00988423	0.00537645	0.0799596	0.485985	0.221859	0.0840943	0.022129	0.011242	0.0101914	0.0692794
ó	0.0017185	0.00268405	0.0144167	0.839689	0.0296363	0.0726823	0.00593126	0.002687	0.0140797	0.0164755
a	0.00380391	0.00203447	0.0684598	0.547133	0.114216	0.140899	0.0640375	0.015213	0.00753569	0.0366681
á	0.00152491	0.000650298	0.0228619	0.0135009	0.196955	0.321227	0.288697	0.125863	0.00656303	0.0221574
y	0.00069333	0.000534981	0.00174759	0.000788556	0.00380229	0.0351714	0.863286	0.075266	0.00910473	0.00960502
í	0.000134954	5.19577e-05	0.000372901	0.000338278	0.00347802	0.0193258	0.950128	0.0170167	0.000834626	0.00831837
n	0.000531143	0.000184609	0.00278395	0.00667654	0.00885281	0.0333498	0.892902	0.0347263	0.00241553	0.0175778
i	0.000662675	0.000837854	0.0205808	0.0206274	0.0698038	0.206091	0.411444	0.178552	0.0566796	0.03472
s	0.00398013	0.00164737	0.0936244	0.120053	0.232404	0.0979204	0.0635562	0.209828	0.0850199	0.0919665
i	0.00884842	0.00301508	0.0176039	0.0249863	0.0810153	0.16831	0.386078	0.158333	0.0983377	0.0534731
o	0.00154356	0.000875226	0.0337926	0.0226896	0.248509	0.0863539	0.0599132	0.230464	0.0682015	0.247657
k	0.00164406	0.00257636	0.00163776	0.00143773	0.00173452	0.0063072	0.156861	0.130354	0.559661	0.137786
y	0.00014919	0.000765918	0.00101914	0.00167479	0.00129504	0.0125476	0.0197171	0.122376	0.745431	0.0950239
ε	0.000593628	0.000384055	0.000779908	0.00167074	0.00293952	0.0211882	0.0232873	0.0737998	0.79438	0.0809766
s	0.000417191	0.000217609	0.00102996	0.000279054	0.00337108	0.0144328	0.0306109	0.273885	0.422829	0.252928
í	0.00133019	0.002474	0.00513245	0.00151032	0.00853248	0.0191873	0.02746	0.108233	0.395927	0.430214
</S>	0.00771281	0.00234902	0.01656	0.00333659	0.0194824	0.0169523	0.0353926	0.203745	0.0990127	0.595457
