 	attends-le	ici	il	n'	en	a	pas	pour	longtemps	</S>
b	0.835335	0.102447	0.0276093	0.00281599	0.00240607	0.00226202	0.00512393	0.0157882	0.00578034	0.000432322
έ	0.780481	0.189786	0.0124861	0.00373806	0.00261058	0.00184443	0.00100532	0.00381663	0.00319529	0.00103661
m	0.634081	0.291198	0.0186429	0.00566757	0.00535985	0.00903053	0.0119813	0.00211261	0.00243809	0.0194878
έ	0.119669	0.543338	0.23563	0.0553618	0.00930261	0.0111349	0.00423471	0.00310417	0.00682449	0.0114006
n	0.0741046	0.303132	0.197595	0.0798723	0.0620782	0.0433277	0.0407256	0.0352706	0.0327606	0.131133
έ	0.03133	0.506537	0.20191	0.0248783	0.0111444	0.0088205	0.00809388	0.0158129	0.0287632	0.16271
w	0.0141192	0.322688	0.400466	0.117275	0.0454713	0.0151681	0.00879784	0.0148096	0.0118967	0.0493081
a	0.101339	0.214838	0.437376	0.0945899	0.0241104	0.0301245	0.023154	0.0127377	0.0201682	0.0415617
b	0.00717658	0.110328	0.489419	0.193425	0.0607975	0.0289812	0.0128927	0.0133311	0.0271532	0.0564958
h	0.0354347	0.235571	0.230085	0.232611	0.149149	0.0683521	0.0177392	0.0103635	0.00799978	0.0126945
á	0.0686803	0.207582	0.14301	0.119451	0.154732	0.0810661	0.0437997	0.0293425	0.0170271	0.135309
a	0.00326646	0.0256356	0.279407	0.279609	0.151316	0.0998007	0.0486745	0.0457196	0.0246093	0.0419615
d	0.00309936	0.00442283	0.0136602	0.188621	0.432012	0.228175	0.0821621	0.0169693	0.012782	0.0180958
í	0.000418073	0.000882307	0.0051996	0.196234	0.246595	0.164728	0.0739813	0.0153934	0.0514528	0.245116
o	0.000282828	0.000727677	0.0159482	0.0833077	0.247954	0.183718	0.159857	0.187988	0.0510473	0.0691691
b	0.0131929	0.00328733	0.00141073	0.0163115	0.0722704	0.159494	0.345529	0.164118	0.175667	0.0487194
í	0.0192931	0.0163361	0.00602043	0.0205064	0.0772997	0.0829031	0.158115	0.127765	0.417378	0.074383
a	0.00141794	0.00276487	0.00775006	0.0250593	0.0551616	0.0993001	0.152011	0.104726	0.226782	0.325026
k	0.000630218	0.00104341	0.00647179	0.0114475	0.0327944	0.0606849	0.171324	0.470165	0.114538	0.130902
a	0.00335228	0.00150437	0.00255854	0.00793357	0.0236426	0.0587812	0.239744	0.256332	0.142457	0.263695
á	0.00167896	0.00217239	0.00275306	0.00888424	0.0198042	0.0583203	0.131953	0.0518663	0.203947	0.518621
</S>	0.000333714	0.00160542	0.00885568	0.00890141	0.0118412	0.0196429	0.0388038	0.109245	0.256288	0.544483
