 	j'	ai	pressé	des	citrons	hier	</S>
n	0.978071	0.0153838	0.000918385	0.00498693	0.000278086	0.000299773	6.21291e-05
g	0.962694	0.031966	0.000683269	0.00453732	8.95212e-05	2.12927e-05	8.14101e-06
á	0.85766	0.131693	0.00277299	0.00321324	0.00440401	0.000102172	0.000153826
í	0.181475	0.520662	0.0378641	0.0339666	0.0389814	0.0083174	0.178733
b	0.0112799	0.408634	0.552392	0.0104354	0.011277	0.000713692	0.00526809
h	0.0137203	0.122905	0.801703	0.0354509	0.0084304	0.00338551	0.0144053
í	0.0464777	0.0837121	0.781602	0.0745557	0.00798885	0.000193742	0.0054703
n	0.00920063	0.0208461	0.733348	0.129955	0.0333892	0.00521346	0.0680476
y	0.000983406	0.0622251	0.724805	0.194444	0.00999032	0.00151985	0.00603227
i	0.0013072	0.132034	0.518375	0.299526	0.0185747	0.00370573	0.026478
a	0.00202556	0.0643623	0.117801	0.761916	0.0302427	0.00520812	0.0184449
l	0.00107307	0.032045	0.101915	0.623772	0.217095	0.00926336	0.0148356
á	0.0016604	0.0206236	0.168779	0.368347	0.273219	0.0275894	0.139781
á	0.00359168	0.0234938	0.0351912	0.442103	0.408	0.0343603	0.05326
l	0.00472573	0.0259176	0.0501998	0.13862	0.66792	0.0584534	0.054163
e	0.00906945	0.0338122	0.0504598	0.129462	0.416455	0.0848452	0.275897
l	0.000109561	0.00410592	0.00779373	0.143012	0.452143	0.207334	0.185502
a	0.00335592	0.00661867	0.0162244	0.0556624	0.409456	0.206829	0.301853
p	0.000129478	0.00151275	0.00214602	0.0378893	0.119341	0.643785	0.195197
ó	4.34951e-05	0.000239509	0.00310062	0.0106766	0.0160361	0.913036	0.0568674
a	0.000127838	0.000150911	0.00313509	0.0115455	0.0275733	0.785818	0.171649
</S>	0.000536504	0.00963518	0.0262265	0.0869255	0.108104	0.186467	0.582105
