 	j'	ai	quitté	le	village	à	cause	de	toi	</S>
n	0.870675	0.0162006	0.00796668	0.0227861	0.0333788	0.0247652	0.00947793	0.0136565	0.000556783	0.000536897
g	0.996977	0.00137798	0.000191074	0.000793669	2.61814e-06	0.000108011	1.51416e-05	0.000124033	0.000394089	1.61294e-05
á	0.961331	0.0142444	0.00206268	0.000646811	7.79091e-06	0.000179698	0.000105968	0.000275665	0.0210557	8.98992e-05
í	0.0571773	0.289242	0.0908636	0.174596	0.008506	0.0227546	0.0172326	0.0294215	0.0471317	0.263075
t	0.0119943	0.361199	0.59424	0.00768608	0.001087	0.00152488	0.0029066	0.000887996	0.00254679	0.0159276
έ	0.000160337	0.0622918	0.860937	0.026494	0.0210733	0.00472124	0.0147785	0.00107788	0.000886624	0.00757895
m	0.00136382	0.107272	0.468239	0.356278	0.0219634	0.019918	0.00713855	0.00391492	0.00539742	0.0085138
i	0.000801723	0.0510054	0.210446	0.546572	0.0124085	0.0825339	0.0218643	0.0141036	0.0157099	0.0445552
p	0.00203516	0.0531098	0.0354684	0.458607	0.250251	0.107959	0.0119766	0.029556	0.0171045	0.0339319
o	4.53936e-05	0.00234248	0.091898	0.103769	0.656002	0.0404345	0.0744941	0.00164032	0.00740598	0.0219682
o	3.78463e-05	0.000990285	0.00503837	0.0274643	0.934518	0.0186097	0.00876752	0.00109803	0.000244939	0.00323153
m	5.378e-05	0.0100399	0.0166601	0.153491	0.0498464	0.538877	0.0730049	0.107905	0.00906391	0.0410577
b	0.000119253	0.00269493	0.00375875	0.0673064	0.0285525	0.426592	0.226275	0.126499	0.0099777	0.108225
é	0.000154922	0.00502048	0.0118908	0.0489198	0.000645807	0.325247	0.324576	0.0868852	0.0294318	0.167229
á	8.74448e-05	0.00773247	0.011389	0.0617028	0.0120126	0.374615	0.237936	0.103271	0.025255	0.165998
l	0.000198972	0.00573058	0.0123273	0.0147963	0.00847831	0.202126	0.343648	0.0908584	0.0634918	0.258345
a	0.000745628	0.00854522	0.0219636	0.0083915	0.000863077	0.0652914	0.206131	0.0767228	0.149727	0.461618
n	2.2401e-05	0.00165082	0.00263183	0.0203768	0.00497106	0.196555	0.199053	0.335881	0.145404	0.0934545
ω	0.000381765	0.000389637	0.00110802	0.000712909	2.05914e-05	0.00616459	0.00939525	0.0330103	0.898958	0.0498592
</S>	0.000939691	0.00367354	0.00239894	0.0117144	0.0019829	0.103236	0.0952975	0.132818	0.185155	0.462784
