 	ses	cheveux	sont	pleins	de	poux	</S>
s	0.459363	0.435512	0.0821842	0.0205083	0.00198032	0.000405209	4.72721e-05
u	0.0476087	0.938536	0.00863245	0.00243089	0.00127603	0.00102075	0.000495449
é	0.0315989	0.836981	0.0685963	0.0379422	0.0116066	0.0044647	0.00881013
y	0.0702062	0.118973	0.612095	0.112751	0.0475797	0.00217533	0.0362197
á	0.0572093	0.352019	0.174827	0.332646	0.0363492	0.00465845	0.0422919
w	0.138528	0.0614872	0.265754	0.369554	0.0141011	0.00298629	0.147589
a	0.181626	0.0290196	0.217272	0.51166	0.0198647	0.0112135	0.0293439
y	0.0513426	0.0114009	0.295977	0.587536	0.034613	0.00326389	0.0158671
é	0.345051	0.064047	0.120225	0.338302	0.0858562	0.0211715	0.025348
e	0.238651	0.0222834	0.378412	0.23272	0.0840207	0.0153556	0.0285576
t	0.00990319	0.00399072	0.0619349	0.246778	0.5892	0.0458846	0.0423083
a	0.00222661	0.00102226	0.0537278	0.516795	0.311033	0.0548278	0.0603669
m	0.00341738	0.00154714	0.175518	0.430557	0.295668	0.0205276	0.0727642
á	0.0484357	0.0038081	0.0381325	0.101603	0.426399	0.174262	0.20736
á	0.0280504	0.00610822	0.213477	0.0781791	0.438425	0.126993	0.108768
i	0.0194753	0.015212	0.0398832	0.0210214	0.444121	0.297063	0.163224
n	0.00146641	0.000890973	0.00199363	0.00288193	0.192763	0.70104	0.0989641
d	0.00231532	0.00503177	0.00272118	0.00120355	0.14389	0.606997	0.237842
w	0.000656527	0.00188027	0.000874228	0.00164356	0.0673571	0.669801	0.257787
ε	0.000581653	0.00427393	0.000630267	0.00189513	0.0336533	0.702946	0.25602
n	0.000352917	0.00025448	0.00219684	0.000502771	0.0439799	0.424035	0.528679
g	0.00175058	0.000661152	0.000600676	0.000291777	0.0192187	0.800604	0.176873
ε	0.00558576	0.000452425	0.00149636	0.000646912	0.00829313	0.936213	0.0473125
l	0.00408714	0.00119462	0.004536	0.00071375	0.149207	0.195731	0.64453
ε	0.0126382	0.00127778	0.0118197	0.00262472	0.181825	0.379403	0.410411
</S>	0.00522246	0.0024756	0.01631	0.00119623	0.13367	0.184559	0.656566
