 	notre	voyage	est	annulé	</S>
b	0.671181	0.288989	0.0307583	0.00781532	0.00125666
í	0.53784	0.161415	0.117685	0.176006	0.00705432
s	0.824442	0.100037	0.021588	0.0314387	0.0224939
í	0.85551	0.0942878	0.016237	0.0261963	0.00776868
o	0.194391	0.309957	0.123359	0.0273513	0.344942
s	0.0690799	0.854018	0.0494166	0.00857931	0.018906
í	0.0572646	0.864501	0.0386773	0.00398072	0.0355767
n	0.268994	0.138361	0.0801696	0.0056807	0.506794
á	0.641063	0.18046	0.110564	0.021066	0.0468473
ó	0.234016	0.127364	0.518598	0.0491983	0.0708234
m	0.113347	0.0461093	0.709357	0.0932192	0.0379678
i	0.0209911	0.040164	0.27146	0.182027	0.485358
k	0.0105466	0.0499482	0.197526	0.500471	0.241508
w	0.0105586	0.0728974	0.048147	0.74729	0.121107
ω	0.177922	0.041298	0.0258086	0.613882	0.141089
ω	0.0143984	0.0121461	0.0744191	0.5986	0.300436
n	0.0198224	0.0172523	0.26918	0.151602	0.542144
ω	0.0328715	0.028916	0.146015	0.447193	0.345005
</S>	0.0108666	0.00512537	0.182553	0.0761498	0.725306
