 	nous	avons	fait	un	détour	en	passant	derrière	la	maison	</S>
b	0.677818	0.236336	0.0434095	0.00745111	0.00323033	0.0177206	0.00159944	0.00533642	0.00651728	0.000274649	0.0003071
í	0.704766	0.178173	0.071863	0.0189624	0.0020631	0.0104122	0.00167001	0.00251415	0.00863977	0.000484783	0.000451322
s	0.969392	0.0227615	0.00554998	0.000775277	6.82774e-05	0.000175257	0.0002666	5.87807e-05	0.000167114	0.000392785	0.00039215
í	0.737466	0.0913106	0.0387906	0.0315757	0.0174799	0.0053003	0.0101845	0.0115023	0.0206488	0.0209953	0.0147465
l	0.0280942	0.363395	0.137306	0.0155484	0.0145023	0.0130636	0.0821943	0.00973502	0.00570335	0.00728859	0.32317
é	0.00897403	0.0647152	0.127819	0.1088	0.0633129	0.0401193	0.0892638	0.12411	0.0627814	0.0149559	0.295149
d	0.00919249	0.207389	0.383706	0.0927878	0.191835	0.0375304	0.0231929	0.00950249	0.0068792	0.00256771	0.0354174
z	0.00558201	0.0921075	0.405384	0.101781	0.278234	0.0436093	0.0236284	0.0264459	0.00445943	0.00563691	0.0131318
ú	0.00160015	0.00165725	0.0190944	0.156439	0.773739	0.0351359	0.000839286	0.0024816	0.00466053	0.00248697	0.00186561
ú	0.00215302	0.0062113	0.109633	0.441464	0.346766	0.054171	0.020135	0.00828291	0.00297496	0.00257056	0.00563785
n	0.0012063	0.00366966	0.116595	0.365427	0.145885	0.286906	0.020729	0.00698086	0.0114616	0.000971355	0.0401683
g	0.00273687	0.00201539	0.0489634	0.420294	0.35753	0.116665	0.00373232	0.00616417	0.0237681	0.00238462	0.0157466
u	0.0179711	0.0022376	0.0218091	0.441654	0.286924	0.160511	0.00381265	0.0261148	0.0162649	0.00321951	0.0194813
m	0.000416283	0.000889755	0.0177639	0.111923	0.0628282	0.681333	0.0370273	0.0146447	0.0166037	0.00226613	0.0543037
á	0.000565933	0.00117149	0.00792468	0.0609067	0.0167774	0.626335	0.109368	0.0324284	0.0530511	0.00302775	0.0884428
l	0.00426588	0.0042556	0.0108799	0.0262279	0.0101738	0.14797	0.507859	0.206387	0.0163819	0.0497514	0.0158482
á	0.00448106	0.00350791	0.010755	0.0188521	0.00384639	0.0243963	0.385649	0.257413	0.0557747	0.0687036	0.166621
n	0.0104648	0.00208857	0.00462617	0.0166588	0.00208879	0.04401	0.21999	0.398801	0.0749045	0.108526	0.117841
g	0.00473804	0.000227777	0.00100117	0.0112038	0.00819195	0.00502263	0.0284439	0.687123	0.0255027	0.217825	0.0107196
ω	7.4387e-05	2.82575e-05	0.000149051	0.00810183	0.00591914	0.00423969	0.0132059	0.821167	0.00536963	0.138362	0.00338279
n	0.000180169	5.45948e-05	0.000268514	0.00868186	0.00195406	0.00917669	0.0244473	0.826345	0.0361171	0.0624794	0.0302953
g	7.0512e-05	5.72589e-05	0.000640624	0.0150222	0.0052518	0.0111361	0.0576921	0.731058	0.041341	0.061685	0.0760455
ω	4.57114e-05	9.0261e-06	6.3311e-05	0.00408847	0.00123614	0.00411964	0.0185938	0.803911	0.0294193	0.123735	0.0147786
y	0.000174514	0.000510802	0.00270003	0.0117243	0.00163135	0.0331206	0.0521824	0.194524	0.415546	0.0591305	0.228756
á	0.000951772	0.000187654	0.00107756	0.00462211	0.00131367	0.0259851	0.0153092	0.22589	0.608389	0.0406531	0.0756201
n	0.00454793	0.00131236	0.00264434	0.00210045	0.00061288	0.00865311	0.0111205	0.0639606	0.452803	0.408938	0.0433072
d	0.000792448	5.79825e-05	0.000240682	0.00381744	0.00201897	0.000418256	0.00144365	0.186694	0.103296	0.692364	0.00885689
é	4.82022e-05	1.56809e-05	8.70358e-05	0.00327993	0.00249995	0.000622177	0.00178339	0.31489	0.0644164	0.588718	0.0236389
e	1.04354e-05	7.07002e-06	6.86948e-05	0.000946932	0.000384982	0.00139568	0.00751896	0.339441	0.166552	0.293566	0.190108
</S>	2.85086e-05	0.000263056	0.0010845	0.0026755	0.00038725	0.00791726	0.00597351	0.0301038	0.379371	0.0225221	0.549674
