 	cette	affaire	exige	la	présence	de	ses	mères	donc	ses	parents	maternels	</S>
i	0.759399	0.166518	0.00110698	0.0108104	0.0138805	0.0186106	0.023507	0.00206863	0.00063092	0.00046747	0.00230626	0.000644389	5.02387e-05
b	0.0382769	0.917762	0.0156137	0.00236414	0.00361354	0.00400473	0.00280516	0.00178736	0.00290551	0.00426915	0.00210701	0.00389783	0.000592997
h	0.00457729	0.982306	0.00291407	0.000936796	0.00273511	0.00156431	0.00102794	0.000294352	0.000194881	0.000365104	0.00038899	0.00230045	0.000395067
ώ	0.0321857	0.898901	0.00510119	0.00537476	0.0137835	0.0118725	0.00822733	0.00154174	0.00151021	0.00640086	0.00505033	0.00799059	0.00206007
ω	0.776917	0.201879	0.00306558	0.00603534	0.00185261	0.00283019	0.00234013	0.000279353	0.000290789	0.000632424	0.00230289	0.000371071	0.00120399
d	0.30489	0.28829	0.0446073	0.0527039	0.011116	0.0337667	0.0160966	0.00414796	0.0392723	0.061061	0.0134411	0.0045326	0.126074
í	0.194527	0.102331	0.0988357	0.0343366	0.0261025	0.0535913	0.036463	0.0126822	0.0916106	0.0854535	0.0271237	0.00795769	0.228985
l	0.464252	0.0229961	0.105232	0.103525	0.0414015	0.042676	0.0874218	0.0268171	0.0224291	0.0164901	0.0296465	0.00116364	0.0359495
í	0.107053	0.0104115	0.0753537	0.0376176	0.0429657	0.044577	0.054696	0.0212079	0.0790224	0.0468499	0.022241	0.00123513	0.456769
i	0.242993	0.0303845	0.111837	0.135427	0.0631526	0.0789611	0.0753913	0.0652657	0.0501324	0.0208074	0.0348313	0.00723099	0.0835851
y	0.003269	0.0298209	0.830135	0.0389472	0.0131372	0.00799023	0.00155096	0.0066341	0.0150073	0.0238935	0.00124488	0.00463788	0.0237321
e	0.000438672	0.00105371	0.968953	0.0148294	0.00234312	0.00178257	0.000404182	0.00305615	0.00160649	0.00217627	0.000372944	0.000537068	0.00244598
e	0.00239003	0.00253738	0.830465	0.0951795	0.0091063	0.00781247	0.00180804	0.00314613	0.00423433	0.0111775	0.00219206	0.00269771	0.0272532
m	0.0202169	0.0110915	0.115271	0.54898	0.0997329	0.0874393	0.0267734	0.00527959	0.0138736	0.022382	0.00644398	0.003391	0.0391243
á	0.0347324	0.0157841	0.0298225	0.216271	0.427333	0.117901	0.0793352	0.0496711	0.010185	0.00262818	0.00373251	0.00104818	0.0115556
a	0.00984749	0.00260802	0.00200418	0.130323	0.259003	0.285349	0.187111	0.072452	0.020868	0.006046	0.00918499	0.00433146	0.0108722
n	0.00172629	0.00449769	0.00800044	0.0692959	0.336242	0.308025	0.0952078	0.110351	0.0279065	0.0161897	0.00449134	0.00924539	0.00882047
g	0.0129031	0.00338758	0.00922026	0.0355464	0.0898262	0.126235	0.0964881	0.542106	0.024841	0.00989675	0.0149091	0.00670634	0.0279343
ó	0.00162437	0.000376807	0.0130784	0.0335112	0.0353981	0.106723	0.0752486	0.648157	0.0377401	0.00591482	0.0169125	0.0125176	0.0127972
o	0.00159757	0.000600558	0.0134216	0.0443381	0.0157493	0.0862017	0.0684428	0.588103	0.0954679	0.0115874	0.0276684	0.0226913	0.0241307
á	0.00450144	0.0019215	0.00124896	0.0274542	0.0839234	0.225429	0.323865	0.158234	0.132341	0.0223497	0.0114406	0.00380167	0.00348904
w	0.00614028	0.00677118	0.0454293	0.0214284	0.0320354	0.052931	0.0681138	0.208091	0.346119	0.16048	0.0289255	0.0109033	0.0126314
a	0.000476654	0.00153984	0.049301	0.0225501	0.0440569	0.0888392	0.072309	0.101792	0.231655	0.274727	0.0706953	0.0182848	0.0237735
m	0.000704177	0.000457891	0.00457875	0.0337876	0.0227659	0.109838	0.112057	0.0963498	0.32595	0.168406	0.0490166	0.0230121	0.0530759
b	0.0151434	0.00285197	0.00307126	0.0315772	0.0373893	0.123407	0.178055	0.141324	0.255893	0.0866514	0.0535285	0.0323076	0.0388011
í	0.00985725	0.00442655	0.00230328	0.0316561	0.166415	0.139436	0.149501	0.0395992	0.103939	0.0796238	0.0393467	0.0698222	0.164074
o	0.00302973	0.000534482	0.000216633	0.00982186	0.0282907	0.10406	0.317651	0.0326244	0.205784	0.184207	0.0737033	0.00951743	0.0305597
m	0.000521198	0.00247475	0.014546	0.0064049	0.0118153	0.0181114	0.0253805	0.0764221	0.155199	0.395411	0.100669	0.16657	0.0264759
b	0.000545642	0.00430406	0.0140445	0.0142675	0.0183737	0.0277252	0.0514113	0.283387	0.0638826	0.126347	0.162396	0.179741	0.0535739
ó	0.000194021	0.000462504	0.00372414	0.00422915	0.0198225	0.0204505	0.0128276	0.0420627	0.0411343	0.185824	0.0706924	0.480245	0.118331
n	0.000490359	0.00112204	0.00198774	0.00888319	0.0189899	0.0241752	0.0175749	0.0338445	0.0469395	0.180643	0.0712717	0.402636	0.191442
o	0.00434203	0.00745791	0.00347629	0.016992	0.0132217	0.0673528	0.0700485	0.0622283	0.120196	0.145972	0.0910514	0.287897	0.109763
</S>	0.0056909	0.000820043	0.000509513	0.00807143	0.00681228	0.0629862	0.0733032	0.0236917	0.0918036	0.0957913	0.147754	0.184878	0.297888
