 	les	policiers	n'	ont	jamais	pitié	mais	ce	policier-ci	est	gentil	</S>
a	0.719122	0.144537	0.0752148	0.011516	0.0196683	0.0227612	0.00337452	0.00318581	0.000148649	0.00024137	0.000217466	1.28684e-05
m	0.0482371	0.922524	0.00516026	0.00407233	0.0059375	0.00838047	0.00259639	0.000843385	0.000740851	0.000449732	0.000488921	0.000569299
b	0.0985053	0.607329	0.162105	0.0581577	0.00994577	0.00134311	0.00754198	0.00420402	0.0319237	0.00271151	0.000318851	0.0159145
o	0.00997279	0.967165	0.00462332	0.00257583	0.0016198	0.00303331	0.00116592	0.00172978	0.00652076	0.00036175	0.000197726	0.00103367
l	0.0616444	0.927866	0.00186543	0.000715104	0.000436156	0.000258892	0.000309817	0.000285942	0.00617506	9.64603e-05	1.26839e-05	0.000334192
o	0.0645775	0.859542	0.00864056	0.00386293	0.0104653	0.00194069	0.0130455	0.00320964	0.00558069	0.00454057	0.0030057	0.0215891
m	0.43518	0.204127	0.315421	0.0162033	0.0138316	0.00162799	0.00287261	0.00355996	0.00169971	0.00206561	0.000442258	0.0029696
b	0.572581	0.104625	0.231388	0.0180922	0.02627	0.000834341	0.0058606	0.0119008	0.0093553	0.0103881	0.00269653	0.00600837
ó	0.204152	0.52268	0.155733	0.0367422	0.0190742	0.0164958	0.00594337	0.0112987	0.0215245	0.00117221	0.000302698	0.00488109
l	0.0664169	0.647375	0.21124	0.02023	0.00273023	0.0011562	0.00173937	0.00382778	0.0401983	0.00158256	0.000103284	0.00339988
o	0.181258	0.323621	0.236062	0.051445	0.0348321	0.0167238	0.0357151	0.0218764	0.0164721	0.0172822	0.0038704	0.0608422
á	0.195494	0.0270989	0.563115	0.0548681	0.103604	0.00844668	0.0113979	0.00780123	0.00281395	0.0102778	0.00415199	0.0109311
d	0.00740595	0.00734843	0.0841313	0.402275	0.359422	0.0924088	0.0144378	0.00694281	0.00724285	0.00339378	0.00144154	0.0135501
i	0.00522725	0.00141522	0.0374199	0.367003	0.459391	0.0522921	0.0130194	0.00583752	0.00184587	0.00696079	0.0015176	0.0480703
í	0.00710351	0.000350112	0.0323922	0.110495	0.734122	0.0650712	0.0255189	0.00626327	0.0014241	0.00526574	0.00244844	0.00954558
n	0.00328183	0.000802259	0.0101814	0.116203	0.297974	0.437701	0.095681	0.0239605	0.00393133	0.00417783	0.0019739	0.00413296
y	0.0143121	0.0047331	0.0109589	0.0630433	0.391048	0.352598	0.107736	0.0304837	0.00383541	0.00421005	0.00135445	0.0156869
i	0.00236495	0.00052681	0.0103575	0.0353698	0.256576	0.529154	0.11625	0.034849	0.00240982	0.00354625	0.00175539	0.00684058
n	0.000120517	0.0014193	0.00512749	0.0303205	0.270302	0.557471	0.0791674	0.0317219	0.0171062	0.00102911	0.000238102	0.00597683
g	0.00103733	0.00372044	0.0196575	0.128576	0.523324	0.126461	0.128114	0.011206	0.00569518	0.00849491	0.0018417	0.0418716
