 	le	cuisinier	exorbite	les	yeux	du	poisson	</S>
o	0.95646	0.0375384	0.00274894	0.00248507	0.000316176	0.000344471	7.44497e-05	3.27024e-05
l	0.0329064	0.957448	0.00878809	8.69376e-05	0.00023904	0.000195824	9.62364e-05	0.000239235
á	0.0305434	0.853923	0.112262	0.000450512	0.0003038	0.000293858	0.000557754	0.00166562
m	0.0305613	0.683764	0.0358762	0.0365529	0.0691479	0.0254396	0.0178167	0.100841
b	0.405615	0.290896	0.141098	0.0902043	0.0188045	0.0178028	0.0159674	0.019612
i	0.315707	0.0985029	0.345083	0.0650897	0.00760983	0.0186368	0.0031506	0.14622
l	0.370418	0.0821558	0.122053	0.257135	0.0904831	0.0403391	0.00714316	0.0302728
á	0.178266	0.0229952	0.0720049	0.0703381	0.0531555	0.0597142	0.0170987	0.526427
a	0.161537	0.00553296	0.0499861	0.558596	0.169583	0.0260462	0.0138608	0.0148571
b	0.0203879	0.188002	0.539134	0.0970351	0.0672753	0.0349816	0.0143982	0.0387866
h	0.00135219	0.00469266	0.946207	0.0293193	0.00674697	0.00445323	0.00225391	0.00497453
ω	0.000621878	0.00155906	0.986665	0.00687082	0.000472008	0.00100301	0.0012216	0.00158645
n	0.00174592	0.00133064	0.897321	0.0593423	0.00280218	0.00972148	0.00754497	0.020191
d	0.00525731	0.00216174	0.848201	0.0452038	0.00438453	0.0213295	0.00853461	0.064928
ω	0.0121137	0.008738	0.73775	0.0680209	0.00320877	0.0186463	0.0171229	0.134399
ω	0.0161245	0.000234888	0.0224302	0.678511	0.119864	0.130797	0.0149604	0.0170785
s	0.0177559	0.019208	0.0247226	0.0847791	0.140927	0.385992	0.239165	0.0874494
w	0.00550181	0.00775502	0.00185336	0.0182985	0.132245	0.0958242	0.60522	0.133302
é	0.00296143	0.00187223	0.000812769	0.0805067	0.213029	0.0424397	0.60936	0.0490177
m	9.75704e-05	0.000306837	0.00339787	0.049501	0.0858663	0.228678	0.318581	0.313571
í	0.00526837	0.000525327	0.00615815	0.100847	0.0889224	0.215527	0.278376	0.304375
s	0.00460866	0.00121842	0.00341124	0.0424138	0.146045	0.140564	0.19422	0.467518
i	0.0013082	0.000916048	0.00102319	0.010937	0.02004	0.0816004	0.661095	0.22308
</S>	0.00277305	0.00178501	0.000980004	0.017188	0.0183775	0.0492726	0.595201	0.314422
