 	le	bord	de	son	pagne	est	usé	</S>
i	0.481705	0.380841	0.0768773	0.0334092	0.0158044	0.00929938	0.000870869	0.0011926
t	0.17098	0.697096	0.0546988	0.0098496	0.0410356	0.00547811	0.0190715	0.00179029
ú	0.0188256	0.3596	0.0289997	0.0419328	0.542761	0.000938955	0.00344626	0.00349576
e	0.040153	0.308595	0.0928275	0.145001	0.321482	0.00563946	0.0113092	0.0749937
l	0.323376	0.155059	0.26556	0.0784212	0.0115034	0.0413357	0.00364636	0.121099
o	0.264301	0.0929005	0.150286	0.102516	0.0389131	0.0460603	0.0308334	0.27419
k	0.289673	0.0708881	0.122636	0.236419	0.109686	0.0151095	0.0170264	0.138562
á	0.0704	0.0633398	0.0689513	0.153077	0.601055	0.00350548	0.00755421	0.0321171
n	0.0333712	0.0826149	0.0934402	0.161361	0.547234	0.00457537	0.00666364	0.0707393
d	0.117641	0.028881	0.17258	0.270622	0.236689	0.0153025	0.0118439	0.14644
á	0.0614683	0.0495008	0.186715	0.293064	0.100891	0.0197234	0.0224856	0.266151
á	0.0191946	0.0061241	0.245434	0.20427	0.0365826	0.444092	0.0185919	0.0257104
w	0.00582089	0.0102036	0.0728456	0.0429884	0.00484803	0.440185	0.382075	0.0410335
a	0.0023852	0.0111601	0.0900854	0.149112	0.0368068	0.242811	0.342024	0.125616
í	0.00186346	0.00190512	0.0527325	0.0714507	0.105256	0.394727	0.201499	0.170566
m	0.00293102	0.00334213	0.0248844	0.00893433	0.00200274	0.382987	0.441773	0.133145
i	0.0234799	0.00470069	0.0231604	0.0139002	0.00339587	0.270773	0.365701	0.29489
b	0.0093347	0.00576398	0.0149844	0.0124674	0.00556321	0.120406	0.618482	0.212998
é	0.00301876	0.0186712	0.0161557	0.0186308	0.00632695	0.0412456	0.824339	0.0716119
b	0.000540983	0.00332562	0.00774795	0.0274194	0.085627	0.0250722	0.58014	0.270127
h	0.00379675	0.00706409	0.0176627	0.0826	0.052162	0.0370572	0.33995	0.459707
a	0.00554809	0.0180378	0.0245659	0.075985	0.112327	0.0257865	0.114792	0.622958
</S>	0.0043578	0.00390507	0.0214986	0.0414823	0.00673906	0.157348	0.1441	0.62057
