 	il	lui	est	arrivé	un	grand	malheur	</S>
w	0.840843	0.124672	0.0177475	0.00590198	0.00196466	0.00698961	0.00165396	0.000226259
a	0.764584	0.157941	0.0133954	0.0126808	0.0106624	0.030921	0.00932677	0.000489179
á	0.231591	0.476656	0.205237	0.0403989	0.0190427	0.015445	0.00488884	0.00674014
m	0.0568565	0.211225	0.332135	0.207525	0.069199	0.0450485	0.0354409	0.0425692
i	0.0182971	0.164252	0.354418	0.237229	0.0812934	0.0241687	0.0235602	0.0967815
t	0.00763128	0.0240524	0.198448	0.471848	0.164444	0.0461496	0.0305081	0.056919
ώ	0.00816651	0.0301147	0.139992	0.43788	0.186022	0.0225428	0.0543066	0.120976
ώ	0.0451181	0.144088	0.428948	0.199548	0.091241	0.0438089	0.0135746	0.0336732
i	0.0288471	0.0373899	0.173606	0.157197	0.165982	0.353354	0.0588698	0.0247548
k	0.00439203	0.00944555	0.0297799	0.120106	0.142276	0.235688	0.431834	0.0264784
á	0.00193643	0.00118338	0.0119205	0.067196	0.129759	0.231787	0.504052	0.0521659
m	0.011661	0.027688	0.069897	0.218001	0.144536	0.101405	0.319381	0.107431
b	0.002611	0.00416371	0.0261442	0.110266	0.204081	0.134877	0.184375	0.333482
í	0.126851	0.078646	0.0635166	0.132879	0.180297	0.0945563	0.127961	0.195292
</S>	0.0280503	0.0189787	0.083064	0.0849891	0.14754	0.173049	0.0758956	0.388433
