 	ondongo	m'	a	serré	violemment	la	main	</S>
o	0.957406	0.0333581	0.00711124	0.000942206	0.000833906	0.000212668	0.000103662	3.17415e-05
n	0.98129	0.00553423	0.00149199	0.00779711	0.00252313	0.000663022	8.26039e-05	0.00061826
d	0.970994	0.0147222	0.00282534	0.00263829	0.00557581	0.00191454	0.000620577	0.000708906
ó	0.987386	0.0083834	0.000893285	0.00116806	0.00057248	0.000250846	7.29591e-05	0.00127345
n	0.977632	0.015644	0.00234747	0.000826179	0.000851815	0.000181205	0.000172532	0.00234489
g	0.725719	0.0425977	0.0802178	0.00995436	0.00162674	0.00163923	0.00810795	0.130137
o	0.887829	0.0467275	0.0383942	0.00739583	0.00254608	0.00094533	0.001131	0.0150315
á	0.00699448	0.17804	0.743356	0.0444362	0.0119228	0.00595877	0.00195361	0.00733847
b	0.00241243	0.0031376	0.0235945	0.832355	0.103246	0.0275423	0.00253504	0.00517726
h	9.06057e-05	0.00589433	0.0773848	0.748023	0.0746917	0.055185	0.025587	0.0131439
í	0.00144617	0.0039069	0.048585	0.878627	0.0364214	0.0213707	0.00465703	0.00498596
í	0.000998939	0.00982301	0.0787164	0.755765	0.0548506	0.008434	0.0225311	0.0688804
n	0.000608166	0.155396	0.121424	0.059879	0.554611	0.0724716	0.00647523	0.0291352
i	0.0035198	0.0715129	0.0268179	0.0107517	0.823063	0.0586575	0.00203748	0.00363959
n	0.000609964	0.0434284	0.0978561	0.0392241	0.415283	0.333272	0.0342631	0.0360638
g	0.00786188	0.0757015	0.00849541	0.00660796	0.728159	0.157498	0.00451082	0.0111654
á	0.01373	0.548078	0.0389354	0.00322282	0.30032	0.0690435	0.0111613	0.0155097
e	0.00229138	0.00350534	0.0149414	0.00128447	0.0194259	0.587171	0.311061	0.0603188
b	0.00116283	0.000360493	0.00229879	0.00237882	0.00742017	0.288718	0.558499	0.139161
ó	7.12828e-05	0.000288965	0.0015989	0.000113227	0.000379321	0.019979	0.964262	0.0133075
ω	0.000111858	0.00038162	0.00279948	0.00256582	0.00319172	0.0180808	0.88056	0.0923088
</S>	0.000194522	0.000373596	0.00348344	0.0030676	0.0288248	0.192549	0.283557	0.48795
