 	les	oiseaux	itsélé	se	déplacent	toujours	en	groupe	</S>
i	0.38929	0.487692	0.103814	0.0155009	0.00228849	0.000482482	0.000619191	0.000265539	4.70937e-05
t	0.0354573	0.625592	0.332211	0.00274855	0.000785518	0.000702845	0.000263531	0.00195237	0.000286708
s	0.00933774	0.3345	0.630245	0.0103643	0.00189785	0.00181857	0.000305246	0.00968156	0.00184996
é	0.0103653	0.0432194	0.914978	0.0219187	0.00453123	0.00218248	0.000281338	0.00153596	0.000987345
l	0.0686525	0.0705303	0.793569	0.0402738	0.0139986	0.0029455	0.000848947	0.000709207	0.00847218
é	0.0965234	0.0971407	0.645667	0.111228	0.0176137	0.00596914	0.00473338	0.00200676	0.0191188
b	0.0538716	0.00801195	0.441208	0.38685	0.0437642	0.0206257	0.0114915	0.000880265	0.033297
í	0.0860275	0.0216767	0.266982	0.286067	0.15005	0.0847414	0.0600447	0.00575424	0.0386561
i	0.125677	0.0238508	0.133375	0.410307	0.164578	0.0764502	0.0292544	0.00944361	0.0270658
b	0.00291755	0.000527525	0.0139783	0.0965412	0.511648	0.32357	0.0251177	0.00430026	0.0213995
h	0.0097409	0.000762832	0.0080624	0.0323998	0.881591	0.0528641	0.011064	0.0008939	0.00262125
é	0.000985168	0.000117403	0.00497268	0.00226494	0.968953	0.0192554	0.00151655	0.000380084	0.00155443
m	0.00717403	0.00105814	0.0337998	0.0301655	0.744224	0.10555	0.0348455	0.0126128	0.0305709
b	0.0674624	0.00100177	0.0102615	0.191627	0.379715	0.128188	0.0702761	0.00555692	0.145911
á	0.0438049	0.00104959	0.00791859	0.14617	0.223005	0.164143	0.143608	0.0487582	0.221542
m	0.00537194	0.000518615	0.00137568	0.0376686	0.0361358	0.212693	0.567167	0.0917613	0.0473082
é	0.0332813	0.000363863	0.000578083	0.0196996	0.047845	0.121128	0.434172	0.0414622	0.30147
k	0.00772132	0.00139413	0.00248212	0.00932315	0.0114452	0.0797677	0.108786	0.7009	0.0781796
u	0.000179252	0.000196668	0.00266883	0.000329927	0.00235081	0.0190391	0.00837733	0.939565	0.0272936
n	0.000960369	0.000804933	0.00260182	0.00117317	0.00561614	0.0283826	0.0271145	0.85655	0.0767966
g	0.0069071	0.00100838	0.00226471	0.00161564	0.00433392	0.0353622	0.0593639	0.78512	0.104024
a	0.00300568	0.000284809	0.00243777	0.00546817	0.00202328	0.0226784	0.018018	0.596627	0.349457
</S>	0.025854	0.0010937	0.000953882	0.0129313	0.00106982	0.0272822	0.0860057	0.159368	0.685442
