 	il	ouvre	la	barrière	</S>
w	0.523266	0.387306	0.0828918	0.0058886	0.00064776
a	0.612938	0.201524	0.079094	0.105338	0.00110657
a	0.311989	0.582539	0.0721388	0.0116	0.0217327
k	0.186644	0.254433	0.35477	0.0749631	0.12919
ú	0.0656761	0.598188	0.0633103	0.0999261	0.172899
m	0.023316	0.158515	0.374962	0.176258	0.26695
ú	0.237055	0.041328	0.47257	0.00507847	0.243969
k	0.0221831	0.0125552	0.335094	0.254258	0.37591
ó	0.00459066	0.0196932	0.0214421	0.893713	0.0605614
ó	0.00198827	0.0126948	0.00805272	0.937003	0.0402607
</S>	0.013622	0.0152342	0.191737	0.0944657	0.684941
