 	parle-	moi	du	comportement	de	cet	homme	</S>
m	0.439273	0.392297	0.11386	0.0272577	0.017838	0.0071288	0.00174549	0.000599885
ó	0.141948	0.520977	0.0873337	0.143092	0.0211617	0.0163999	0.00171494	0.0673731
t	0.570024	0.298627	0.0858804	0.0276261	0.00415394	0.00432853	0.00478735	0.00457274
i	0.248635	0.363108	0.28936	0.0352235	0.02351	0.0096513	0.0135274	0.0169846
á	0.178663	0.216269	0.319214	0.0791486	0.02984	0.0182036	0.00740036	0.151261
n	0.100519	0.392369	0.371979	0.060918	0.023662	0.0141073	0.00176674	0.0346785
g	0.133023	0.796298	0.039189	0.0103059	0.00321319	0.00244399	0.000399584	0.0151275
á	0.116917	0.841921	0.0219741	0.00943477	0.00284766	0.00262638	0.00018866	0.00409099
m	0.153917	0.108765	0.396226	0.0848979	0.135234	0.0726866	0.0133647	0.0349089
é	0.0622454	0.0741195	0.0989207	0.482473	0.115365	0.109104	0.0225377	0.0352346
y	0.0707636	0.220012	0.256565	0.15138	0.163172	0.038155	0.0785901	0.0213624
u	0.0244063	0.042076	0.183165	0.438336	0.211945	0.0574754	0.00925623	0.0333397
ú	0.0319025	0.0312712	0.14001	0.174538	0.206556	0.108981	0.0135831	0.293159
y	0.00569622	0.0224149	0.0727836	0.104665	0.403236	0.172229	0.103449	0.115527
í	0.0407651	0.0354095	0.156276	0.0871359	0.260646	0.248392	0.102795	0.0685813
b	0.0193555	0.0642046	0.0866007	0.0776548	0.259621	0.20129	0.201047	0.0902264
a	0.0217634	0.0741239	0.0874651	0.0779125	0.140549	0.039042	0.491884	0.0672595
a	0.00138403	0.00429005	0.0417587	0.0255883	0.22616	0.10491	0.494617	0.101292
d	0.00110723	0.00357761	0.0379519	0.00345703	0.146293	0.261353	0.128788	0.417471
í	0.00126498	0.00261415	0.00606894	0.00329569	0.0486847	0.0492433	0.0295659	0.859262
i	0.00121197	0.00605061	0.0133504	0.00389332	0.0689283	0.103814	0.26362	0.539131
</S>	0.00349755	0.00787166	0.0150229	0.0132428	0.0398158	0.157692	0.306301	0.456556
