 	ces	enfants	sont	de	même	taille	</S>
b	0.439811	0.538237	0.0133544	0.00523695	0.00292539	0.000293438	0.000141531
á	0.0167484	0.979401	0.00197808	0.00102414	0.00081081	7.03905e-06	3.05666e-05
n	0.0127585	0.985096	0.00139028	0.000620156	9.50772e-05	1.11908e-05	2.87905e-05
a	0.106307	0.886711	0.00339665	0.00248655	0.000254717	3.69691e-05	0.000806423
b	0.365529	0.230504	0.218826	0.126971	0.0384149	0.00242705	0.0173284
á	0.0926607	0.0726518	0.501779	0.229326	0.0502461	0.000553768	0.0527824
á	0.0426182	0.048784	0.611805	0.207443	0.062517	0.00719167	0.0196418
d	0.00445483	0.00143701	0.264065	0.352086	0.311999	0.0378319	0.0281258
í	0.0109394	0.00016021	0.149879	0.379267	0.255942	0.0362796	0.167533
o	0.0254787	0.000249082	0.0947857	0.216975	0.430241	0.0975978	0.134673
t	0.0059129	0.000786588	0.0102843	0.0847672	0.283131	0.573947	0.0411712
έ	0.000208176	0.000120042	0.00396042	0.0124026	0.0200959	0.938214	0.0249986
έ	0.0085482	0.00338773	0.036061	0.0611684	0.0793563	0.736168	0.0753106
i	0.00641621	0.000594127	0.0428405	0.222048	0.237014	0.237772	0.253315
m	0.0176058	0.00271365	0.0250757	0.120165	0.284436	0.209324	0.34068
b	0.0165938	0.00141588	0.0276499	0.16993	0.303237	0.097902	0.383271
v	0.0277441	0.0169117	0.0136749	0.224833	0.220367	0.0780047	0.418464
a	0.0287794	0.0118263	0.0250621	0.181121	0.118277	0.0249666	0.609967
</S>	0.00347936	8.93795e-05	0.00992522	0.044838	0.0543873	0.0958613	0.791419
