 	monsieur	ndombi	est	arrivé	au	village	</S>
d	0.60204	0.347982	0.0365152	0.00370981	0.00916769	7.83226e-05	0.000506894
á	0.382866	0.316534	0.0407579	0.0311176	0.0813233	0.00591173	0.141489
n	0.729548	0.147459	0.0111406	0.00397632	0.00635101	0.088433	0.0130929
d	0.240188	0.36923	0.0392996	0.0126362	0.00533285	0.0080586	0.325255
o	0.285791	0.618023	0.00743295	0.0055075	0.00335015	0.0110632	0.0688316
m	0.0830904	0.705922	0.0432453	0.0430265	0.0357452	0.0379578	0.0510129
b	0.139427	0.54738	0.196958	0.00634758	0.00251807	0.00520367	0.102165
i	0.305532	0.500291	0.117626	0.0151024	0.00818445	0.00032727	0.0529376
á	0.126417	0.0301325	0.690008	0.0877538	0.0333713	0.00134234	0.0309746
m	0.00673868	0.00308551	0.176227	0.597503	0.146073	0.0206326	0.0497408
i	0.0186458	0.00503598	0.312897	0.291304	0.24941	0.013885	0.108823
y	0.000923921	0.00656615	0.0481092	0.777469	0.0913219	0.0502499	0.0253599
a	0.00169018	0.00370975	0.0319366	0.684073	0.0776227	0.140303	0.0606641
á	0.00599767	0.00176452	0.0955111	0.366614	0.0969424	0.0802885	0.352882
p	0.00501887	0.000539816	0.0562043	0.174933	0.359636	0.345941	0.0577263
o	0.0294165	0.000816392	0.0268103	0.103414	0.0806184	0.646139	0.112785
o	0.00138242	0.00253435	0.0345878	0.166856	0.0860363	0.526648	0.181955
</S>	0.00456359	0.00315331	0.036913	0.114295	0.254533	0.15366	0.432881
