 	il	n'	y	a	personne	qui	s'	entend	avec	ma	mère	dans	ce	village	</S>
o	0.300829	0.0972281	0.10273	0.100198	0.0832592	0.05779	0.045804	0.0688649	0.0795665	0.0181387	0.00628731	0.00535283	0.0188958	0.0101646	0.00489172
k	0.0202475	0.133585	0.0308255	0.0227995	0.0680832	0.056445	0.0691367	0.10015	0.0487005	0.00180507	0.0599985	0.127589	0.0165888	0.2314	0.0126453
a	0.0141439	0.0774323	0.0841183	0.0263625	0.0517187	0.043732	0.0942836	0.159234	0.089881	0.00538743	0.00215844	0.0445263	0.0396054	0.205799	0.0616175
a	0.00469101	0.184354	0.236944	0.0465116	0.0689117	0.0454812	0.108617	0.121435	0.0227551	0.0035592	0.00114693	0.0243395	0.047999	0.0560493	0.0272053
n	0.0802582	0.0924695	0.166605	0.0850131	0.105303	0.143625	0.0927776	0.0734133	0.0478483	0.0621	0.00356001	0.00814701	0.0226607	0.000590298	0.0156285
i	0.0619186	0.0416478	0.0557005	0.0336808	0.064003	0.0734697	0.0856665	0.215961	0.124015	0.174379	0.0071088	0.0074098	0.0141416	0.00117308	0.0397243
l	0.0100765	0.0305446	0.0892788	0.052516	0.0354252	0.0731029	0.142478	0.163001	0.165257	0.0476988	0.122583	0.0262559	0.0323145	0.00018699	0.00928172
a	0.0313704	0.0479494	0.0672625	0.0553346	0.0657036	0.0788438	0.0554734	0.0574498	0.0999984	0.027539	0.0355972	0.0553123	0.0419375	0.00899811	0.27123
n	0.00809277	0.00393908	0.010821	0.0141736	0.010134	0.0165104	0.0342022	0.0949461	0.257633	0.228517	0.288811	0.0119837	0.00762646	0.00249827	0.0101119
g	0.000455103	0.000567792	0.00141167	0.0020302	0.00289776	0.00799102	0.0158781	0.0284673	0.032009	0.401822	0.494961	0.00401769	0.00576155	0.000117312	0.00161294
ó	0.000467953	0.000758841	0.0039693	0.00661753	0.00868496	0.0130553	0.0192744	0.0869247	0.158404	0.16325	0.489131	0.0239317	0.0102013	0.0019183	0.0134108
o	0.00058983	0.00203144	0.0193123	0.0093646	0.0110712	0.0152432	0.0201846	0.0930122	0.134001	0.141977	0.439143	0.0216565	0.0503022	0.0149421	0.0271684
y	0.00139869	0.00355978	0.0129306	0.0293143	0.0247879	0.0526987	0.076527	0.0735514	0.113837	0.0637343	0.18936	0.187485	0.152336	0.0101994	0.00827972
