 	l'	enfant	est	affaibli	par	la	faim	</S>
m	0.924979	0.0718225	0.000206739	0.00181005	0.00043381	0.000449772	0.000209883	8.8444e-05
w	0.166601	0.813152	0.0129879	0.00294256	0.00197252	0.000770391	0.000590092	0.000983413
á	0.00760162	0.99223	8.49506e-06	4.75677e-05	3.14603e-05	9.40732e-06	6.97445e-05	1.91953e-06
n	0.33579	0.653501	0.00365874	0.000641262	0.000834024	0.000355304	8.29585e-05	0.00513722
a	0.229985	0.700891	0.0167725	0.00162085	0.0103855	0.00274403	0.00678217	0.0308192
á	0.491662	0.0165071	0.35132	0.0216595	0.0252419	0.0313656	0.00381959	0.0584244
m	0.133126	0.0215236	0.628589	0.109426	0.0317462	0.0207911	0.00410643	0.0506915
i	0.0228974	0.00546457	0.571471	0.234446	0.0715068	0.0216236	0.0145473	0.0580427
b	0.00570379	0.00433781	0.158939	0.686026	0.0622717	0.0184291	0.0108706	0.0534221
ω	0.00196028	0.00159003	0.0718101	0.832583	0.0482153	0.0083143	0.00670124	0.0288255
b	7.61114e-05	7.76636e-05	0.00628401	0.956243	0.0193443	0.00492005	0.0040306	0.00902446
h	0.0201218	0.00100149	0.0739987	0.561286	0.113196	0.100378	0.00983548	0.120183
ώ	0.00369306	0.000138167	0.006317	0.863654	0.0522436	0.0306055	0.0117668	0.0315819
ώ	0.0129657	0.000433268	0.0358546	0.148988	0.527019	0.218787	0.0271483	0.0288031
l	0.00210678	0.000193442	0.00846325	0.0232387	0.296752	0.483374	0.160911	0.0249613
a	0.00193772	2.57285e-05	0.0104333	0.0101562	0.155562	0.322561	0.187749	0.311576
n	0.00240144	0.000189989	0.00940743	0.00825325	0.193336	0.27179	0.355814	0.158809
d	0.00358195	0.000428107	0.00332515	0.00397276	0.0672749	0.23131	0.591771	0.0983363
z	0.000693428	0.000204963	0.000910127	0.00122329	0.0243426	0.0998505	0.673972	0.198803
a	1.34649e-05	1.87843e-05	0.00014078	0.000227215	0.00316822	0.0153097	0.940843	0.0402784
a	0.000399609	8.97359e-05	0.00131429	0.00380921	0.0201028	0.0251378	0.447822	0.501325
</S>	0.000494312	8.50352e-06	0.00443416	0.00338919	0.0353123	0.198782	0.0887998	0.668779
