 	il	casse	les	noix	de	palme	pour	extraire	les	amandes	</S>
w	0.584884	0.329943	0.072107	0.0046642	0.00087254	0.000263195	0.000645854	0.000651735	0.00593933	9.14937e-06	2.00399e-05
a	0.674948	0.152812	0.155497	0.00598606	0.00329507	0.000862844	0.00186005	0.000289746	0.00433864	1.46009e-05	9.55907e-05
l	0.0638392	0.815052	0.106076	0.00183523	0.00554315	0.00391046	0.00160386	0.000739735	0.00046438	0.000295929	0.000640039
á	0.213021	0.262278	0.313058	0.0486763	0.0910537	0.0278651	0.0150172	0.00104449	0.00224267	0.000993188	0.0247504
a	0.333107	0.0798917	0.460676	0.0176824	0.0391839	0.0233179	0.0150092	0.00139604	0.00535301	0.00470111	0.0196821
b	0.0467747	0.353764	0.341391	0.103613	0.0752118	0.0639292	0.0053841	0.00178193	0.000495619	0.0020512	0.00560271
έ	0.038236	0.14579	0.186379	0.500613	0.0942684	0.0271212	0.00393212	0.000803696	0.000624008	0.000367759	0.00186473
έ	0.00478527	0.0428053	0.214233	0.249446	0.207098	0.237088	0.0221377	0.003681	0.00127831	0.00187829	0.0155688
i	0.0163103	0.0137977	0.197468	0.224028	0.28624	0.144084	0.0463008	0.00744673	0.038698	0.00204777	0.0235791
n	0.00816641	0.00456248	0.0704281	0.125393	0.299127	0.313406	0.141615	0.0105787	0.013846	0.00421128	0.0086663
d	0.0228184	0.0121012	0.0363145	0.0192759	0.209261	0.261687	0.266775	0.0233079	0.0366177	0.0123509	0.0994903
z	0.00885138	0.00521234	0.0132683	0.00716852	0.126289	0.40688	0.182561	0.0453646	0.0194192	0.0937271	0.0912578
i	0.00133425	0.00180819	0.00570725	0.00232429	0.0552954	0.128275	0.174694	0.225008	0.0513955	0.243526	0.110632
á	0.00143766	0.00485225	0.0283345	0.0100808	0.0704091	0.08203	0.111999	0.18685	0.147112	0.0583151	0.298579
</S>	0.00125568	0.00146631	0.0182011	0.0206771	0.125813	0.079467	0.239403	0.110559	0.180345	0.0672338	0.155579
