 	il	a	les	yeux	bouffis	de	sommeil	</S>
w	0.876779	0.0584606	0.0498958	0.0102713	0.000968132	0.00252935	0.000525247	0.000570896
a	0.485508	0.175723	0.163727	0.156586	0.000206877	0.0170715	0.000806049	0.000371122
m	0.116417	0.391894	0.293088	0.132838	0.0155401	0.0420961	0.00272842	0.00539854
í	0.0410559	0.0959712	0.0986798	0.745568	0.000928773	0.00231797	0.000384358	0.015094
s	0.197694	0.11255	0.157771	0.252846	0.023623	0.0240271	0.0138299	0.21766
i	0.341607	0.188107	0.242802	0.0217723	0.00324143	0.0182944	0.0137833	0.170392
á	0.129254	0.233998	0.377674	0.173705	0.0165102	0.0404802	0.00186132	0.0265177
m	0.0206804	0.177991	0.232374	0.132978	0.222267	0.146409	0.0208129	0.046487
i	0.00640496	0.158089	0.196524	0.168608	0.267572	0.129107	0.0132882	0.0604061
f	0.0013599	0.0188057	0.0434779	0.113503	0.707316	0.0656295	0.0250372	0.0248707
ú	0.000567078	0.0102959	0.0206348	0.0021108	0.78727	0.0421191	0.0884551	0.048547
ú	0.000329913	0.00735814	0.0279197	0.000557165	0.735945	0.0607302	0.077457	0.0897027
s	0.0117473	0.0636621	0.133013	0.00155615	0.126727	0.348641	0.0790509	0.235603
á	0.00734919	0.0313242	0.121756	0.000737518	0.0995598	0.219933	0.0699291	0.449411
l	0.023933	0.0464329	0.302676	0.00246108	0.0474416	0.251303	0.282647	0.043106
a	0.0153773	0.0227035	0.0598805	0.000649164	0.0439329	0.176446	0.210938	0.470073
f	0.0170958	0.0315826	0.137557	0.00286283	0.0622107	0.0654314	0.551583	0.131677
u	0.00141486	0.00145201	0.0066014	3.32668e-05	0.0451614	0.0210845	0.813589	0.110664
l	0.000282024	0.00137092	0.00857016	1.87021e-05	0.0976525	0.0377353	0.704331	0.150039
ú	0.000540928	0.00125107	0.00770642	6.24137e-06	0.0584944	0.127815	0.515276	0.28891
</S>	0.000707637	0.00323676	0.0102641	7.98099e-05	0.0538731	0.31968	0.149461	0.462698
