 	l'	antilope	se	nourrit	de	feuilles	de	la	plante	aquatique	moo	</S>
m	0.757503	0.169398	0.0413423	0.000727762	0.00441226	0.00524187	0.00752296	0.0090954	0.00395052	0.000707782	1.47473e-05	8.39929e-05
v	0.0738972	0.887899	0.0204225	0.000867163	0.00243344	0.000540716	0.00285724	0.00576263	0.000666413	0.00213947	5.17625e-05	0.00246285
u	0.0123751	0.956766	0.0205181	0.0018887	0.0045715	0.0015149	0.00152407	0.000552713	6.35579e-05	8.51201e-05	3.73674e-05	0.000102586
l	0.255513	0.648115	0.0484995	0.0042833	0.0170098	0.00257789	0.00407002	0.00325262	0.00090027	0.0027404	0.00238435	0.0106539
u	0.211309	0.607131	0.0923971	0.0221214	0.0165849	0.00491042	0.00394183	0.00423932	0.00219843	0.00204578	0.00282207	0.0302995
l	0.078411	0.064985	0.59848	0.201396	0.021182	0.0087425	0.00493381	0.00335658	0.00171037	0.00121571	0.000974536	0.0146127
á	0.243725	0.0864339	0.225447	0.0981637	0.0877277	0.02525	0.0443943	0.0333491	0.00814594	0.0267217	0.00670825	0.113934
a	0.418175	0.0302617	0.328192	0.0998738	0.0639164	0.0194755	0.0120957	0.0094456	0.00392278	0.00581844	0.00224234	0.00658068
d	0.00958897	0.0555853	0.168267	0.636098	0.0621195	0.020767	0.00494503	0.00248512	0.00398036	0.00274409	0.0015155	0.0319047
z	0.000333637	0.00153768	0.00764519	0.945747	0.0314848	0.00732543	0.000931785	0.000392625	0.000651975	5.56668e-05	0.000245652	0.00364888
á	0.0121248	0.0091717	0.0197923	0.901703	0.0423901	0.00595886	0.00153225	0.000669042	0.00309328	0.000381256	0.00084403	0.00233935
á	0.00154793	0.000398619	0.0270168	0.653022	0.131437	0.0721354	0.0270546	0.0198578	0.0184781	0.0030817	0.00659264	0.0393772
m	0.00274556	0.00238946	0.0216564	0.16007	0.321288	0.309699	0.0704758	0.0491442	0.0316269	0.0202931	0.00311994	0.00749207
ó	0.00231116	0.013096	0.0211227	0.264154	0.179301	0.131497	0.093981	0.0543337	0.0533038	0.0175957	0.0588037	0.1105
m	0.00762155	0.008739	0.0148119	0.07425	0.161413	0.243651	0.0776903	0.060568	0.237711	0.0544111	0.0428074	0.0163261
y	0.00290329	0.013336	0.00513258	0.0758667	0.0713555	0.0556442	0.0594736	0.0502902	0.0673783	0.0344758	0.342018	0.222126
ω	0.000948887	0.00256143	0.000872681	0.0580105	0.033945	0.0482127	0.0180872	0.0225554	0.0674735	0.269462	0.434331	0.0435399
ώ	0.00041986	0.000144446	0.00203935	0.0924328	0.0812923	0.124042	0.0989079	0.0755152	0.101957	0.0345558	0.188291	0.200402
</S>	0.000379259	0.000204375	0.00163501	0.00843621	0.0594481	0.0666401	0.292634	0.27765	0.0962148	0.0766391	0.0236789	0.0964404
