 	il	joue	auprès	de	sa	maman	</S>
w	0.950216	0.0369874	0.00236273	0.00339238	0.00603442	0.000949498	5.79629e-05
a	0.850621	0.109238	0.00433103	0.00924188	0.0241004	0.00240857	5.87276e-05
l	0.508754	0.377286	0.0498278	0.0256763	0.0204823	0.00184198	0.0161313
á	0.218559	0.185817	0.106217	0.0958414	0.0910241	0.020727	0.281814
a	0.323879	0.165329	0.085209	0.0628112	0.0874149	0.0250111	0.250346
s	0.0193685	0.680825	0.263251	0.0189873	0.00163338	0.000751	0.0151846
a	0.0041167	0.941172	0.0502898	0.00147576	0.000484353	0.000376267	0.00208522
n	0.0975832	0.764176	0.115869	0.0121925	0.000842537	0.000671558	0.00866512
á	0.0105298	0.332508	0.485514	0.130566	0.0136969	0.00099863	0.026186
á	0.0331033	0.289732	0.475418	0.146073	0.0437565	0.00597103	0.00594523
p	0.0310811	0.0874652	0.158861	0.32608	0.296374	0.0881118	0.012026
ε	0.00638261	0.0103435	0.429925	0.473388	0.0393531	0.00666212	0.0339452
l	0.00418951	0.0137255	0.134109	0.626963	0.0611807	0.00725965	0.152573
έ	0.00238927	0.00597834	0.241669	0.541034	0.100199	0.0089871	0.0997438
έ	0.00515358	0.0284009	0.104319	0.300572	0.385911	0.0843371	0.0913076
l	0.00493584	0.00751056	0.120706	0.351234	0.204733	0.121795	0.189086
a	0.00221884	0.0101921	0.0342884	0.188679	0.266475	0.23339	0.264757
n	0.00172484	0.00190205	0.00369737	0.0276325	0.514129	0.422672	0.0282432
g	0.000214005	0.00287928	0.00154696	0.009892	0.0343688	0.924377	0.0267224
ó	0.000148886	0.000185114	0.000256873	0.00329984	0.0076395	0.956717	0.0317532
o	0.000732274	0.00385682	0.00598521	0.039409	0.0691886	0.666317	0.214511
</S>	0.00454991	0.00291194	0.0121157	0.0582266	0.333549	0.0847994	0.503847
