 	il	se	promène	dans	le	village	</S>
w	0.964043	0.0231157	0.000368615	0.00309993	0.00663061	0.00119939	0.00154314
a	0.896373	0.0874034	0.00282445	0.00774368	0.00497779	0.000609391	6.78165e-05
l	0.224871	0.72439	0.018626	0.0139676	0.012125	0.000262656	0.00575797
á	0.144685	0.333641	0.0756163	0.0608709	0.0985146	0.00571312	0.280959
a	0.145444	0.287394	0.186375	0.0486566	0.0946643	0.000914419	0.236552
b	0.0221558	0.249009	0.692192	0.0163225	0.00293116	0.0080359	0.00935376
h	0.00395948	0.0558325	0.916635	0.0209521	0.00107235	0.000155779	0.00139294
é	0.00138387	0.0157862	0.957695	0.0235978	0.000781312	8.95058e-05	0.00066611
m	0.0252456	0.082104	0.755415	0.097843	0.0157464	0.00548244	0.0181635
b	0.00702341	0.0396725	0.715347	0.107905	0.0286332	0.00157767	0.0998413
á	0.027605	0.06875	0.30144	0.317022	0.237495	0.00393502	0.0437534
s	0.00631088	0.0123052	0.0042637	0.378345	0.575593	0.019282	0.00390006
á	0.0124318	0.00848419	0.0270576	0.298237	0.587604	0.00423981	0.0619466
p	0.0101478	0.0067618	0.0085529	0.0865807	0.246117	0.595476	0.0463642
o	0.000251085	0.000326179	0.00058864	0.00556327	0.0078825	0.981369	0.00401951
o	0.000124004	0.000288107	0.00129363	0.00675203	0.00748419	0.977181	0.00687664
</S>	0.000290216	0.00157895	0.000436889	0.0717433	0.105087	0.0423981	0.778465
