 	l'	épouse	de	mon	oncle	est	inféconde	</S>
m	0.928904	0.0307702	0.0272684	0.00972734	0.00195878	0.00132173	3.09139e-05	1.90698e-05
w	0.00733154	0.98798	0.0011593	0.000690398	0.00140469	0.000665002	0.000516578	0.000252108
á	0.0222601	0.974661	0.000971994	0.000727821	0.000257631	4.02197e-05	0.00105506	2.60425e-05
s	0.797313	0.169581	0.0177802	0.00571325	0.00126648	0.00238745	0.00139709	0.00456202
í	0.33043	0.0756366	0.136773	0.0509207	0.0244898	0.0402913	0.0683337	0.273126
y	0.640878	0.11634	0.132598	0.0705635	0.00520223	0.0260332	0.000360389	0.00802434
a	0.617118	0.0106057	0.098014	0.154668	0.0354655	0.0637736	0.00501158	0.0153438
n	0.613385	0.0117135	0.0894558	0.22569	0.0250897	0.0210225	0.00174269	0.0119005
g	0.322094	0.0145014	0.0066814	0.245511	0.392572	0.00346793	0.00933575	0.00583655
ó	0.0316177	0.0452407	0.0279536	0.148228	0.534832	0.01053	0.130172	0.0714264
l	0.00571252	0.00153501	0.0660828	0.111867	0.732656	0.0301495	0.0168029	0.0351944
ó	0.0482644	0.0014568	0.360263	0.194484	0.303984	0.0388657	0.00657415	0.0461085
m	0.00560188	0.00189772	0.142329	0.0874536	0.653555	0.0726353	0.0120235	0.0245047
i	0.373651	0.0113442	0.127771	0.101927	0.102459	0.241981	0.00595374	0.0349131
y	0.0374363	0.00416498	0.117475	0.318308	0.0643653	0.398616	0.0176686	0.0419656
a	0.0482196	0.000654455	0.067802	0.589845	0.180967	0.0941286	0.00742549	0.0109584
n	0.0257923	6.81918e-05	0.0272406	0.829663	0.0369145	0.0638063	0.00293009	0.0135849
g	0.0131583	0.000294836	0.0313984	0.466548	0.425866	0.0256546	0.0161061	0.0209732
á	0.00283064	0.000157266	0.0660034	0.166971	0.525759	0.10976	0.0874919	0.0410271
a	0.00241582	3.17675e-05	0.0539481	0.197502	0.0477757	0.657069	0.00855291	0.0327047
d	0.000969437	3.82725e-05	0.0370021	0.0556075	0.0376318	0.654963	0.0615408	0.152247
í	0.00177921	0.000442189	0.00826766	0.0523941	0.0128237	0.527392	0.00949298	0.387408
e	0.0326093	8.51302e-05	0.0232137	0.142937	0.0103623	0.537555	0.0223173	0.230921
n	0.00174025	0.0010541	0.00368504	0.0335177	0.0154655	0.0862541	0.768062	0.090221
g	0.00552848	0.000295097	0.00274068	0.0338001	0.0144789	0.0589568	0.784205	0.0999953
o	0.000293984	5.01236e-05	0.00123101	0.0151666	0.0577988	0.0176895	0.886406	0.0213636
m	0.000150556	0.000179632	0.000316412	0.0022163	0.00712499	0.00919014	0.75565	0.225172
b	0.0074897	0.000476535	0.00318143	0.0171003	0.00250877	0.101331	0.531104	0.336809
a	0.00331952	0.000147704	0.00252759	0.00427634	0.000325311	0.0308422	0.573733	0.384828
</S>	0.0020103	3.25573e-05	0.0114971	0.0503148	0.00306058	0.162289	0.0569446	0.713851
