 	les	poissons	sont	pretsréalisé	fait	accompli	</S>
a	0.81966	0.166131	0.0107268	0.00278283	0.000211848	0.000432205	5.48305e-05
s	0.147925	0.50108	0.279355	0.0422321	0.0114456	0.0131984	0.00476323
w	0.0504614	0.906125	0.0291589	0.00896438	0.00195692	0.00156227	0.00177073
é	0.117626	0.856491	0.0180606	0.00331511	0.00134625	0.00036438	0.00279595
a	0.0706074	0.139787	0.487419	0.160795	0.0514745	0.0130284	0.0768887
b	0.0123505	0.0107209	0.313479	0.304757	0.28903	0.0339706	0.0356925
h	0.0300945	0.0194734	0.10848	0.279959	0.487218	0.0231848	0.0515911
i	0.094421	0.0120779	0.0818869	0.228958	0.32724	0.056448	0.198967
a	0.049682	0.018894	0.0685138	0.123287	0.289491	0.117762	0.33237
k	0.00436656	0.0121031	0.0191424	0.0508588	0.29977	0.577199	0.0365605
y	0.00035921	0.000129305	0.00368121	0.0734639	0.0734647	0.743548	0.105353
á	0.000843432	0.000952729	0.00616061	0.0706975	0.0908292	0.713006	0.117511
k	0.00413063	0.00287229	0.0116074	0.0623861	0.069109	0.217187	0.632708
y	0.00032433	0.000234095	0.00194194	0.0193829	0.0229801	0.849515	0.105622
a	0.000499094	0.000238984	0.0014834	0.011559	0.0361053	0.848695	0.101419
</S>	0.000174293	5.05849e-05	0.00143228	0.0127998	0.0205554	0.643067	0.321921
