 	cette	personne	pagaie	avec	une	grosse	pagaie	</S>
m	0.418129	0.517061	0.0226096	0.0290747	0.00850496	0.00171422	0.00269657	0.00020927
o	0.101225	0.591847	0.0639471	0.111302	0.0218998	0.0112683	0.0144779	0.0840327
r	0.382243	0.554955	0.00233405	0.0132172	0.0206523	0.0122906	0.000825966	0.0134817
o	0.563125	0.373559	0.00872464	0.0236247	0.0126468	0.0054762	0.00407168	0.00877173
w	0.347688	0.402591	0.0263821	0.0672003	0.0219196	0.0192369	0.00229499	0.112687
ó	0.230389	0.198691	0.0406774	0.168757	0.1412	0.0791001	0.0177673	0.123418
l	0.129948	0.134331	0.0499337	0.157755	0.0819858	0.065693	0.0196512	0.360702
á	0.0939208	0.100646	0.0835668	0.127262	0.0709608	0.0600924	0.0344553	0.429097
a	0.387913	0.100332	0.167636	0.244901	0.0561421	0.0150805	0.00943626	0.0185594
d	0.0157221	0.0673512	0.152158	0.209036	0.302266	0.186688	0.0144123	0.0523674
u	0.00951917	0.018705	0.0590038	0.121106	0.409123	0.294639	0.00545917	0.0824453
á	0.323542	0.0918583	0.128409	0.203185	0.192194	0.0499176	0.00269398	0.00820046
b	0.0232019	0.010136	0.209436	0.393416	0.290509	0.0471095	0.0146158	0.0115758
v	0.00937192	0.0105392	0.813064	0.0944872	0.0309027	0.0080082	0.0281912	0.00543537
á	0.000594745	0.0010881	0.865223	0.044825	0.0259363	0.00294957	0.0550961	0.00428755
r	0.00186508	0.00373179	0.564106	0.196105	0.0973002	0.0221906	0.0677431	0.0469584
e	0.0431824	0.0219226	0.261249	0.126007	0.207759	0.0792015	0.0844855	0.176193
m	0.0153425	0.00955834	0.095063	0.285956	0.317617	0.195225	0.0338285	0.0474105
ó	0.0120171	0.00537802	0.00776316	0.108255	0.131781	0.228786	0.0294062	0.476614
l	0.0106293	0.0124328	0.0547417	0.0808933	0.142395	0.271592	0.378701	0.0486145
e	0.00680449	0.00763516	0.016861	0.0383779	0.0904679	0.310563	0.328833	0.200458
k	0.000452145	0.00126154	0.00814812	0.0165217	0.134909	0.508337	0.247739	0.0826316
á	0.00100346	0.00263674	0.00638063	0.0148715	0.0819019	0.368292	0.265403	0.259511
y	0.000842388	0.00192352	0.00813608	0.0442332	0.153525	0.371904	0.125574	0.293861
é	0.0214592	0.00845633	0.0138018	0.0417354	0.137618	0.265427	0.342733	0.168768
l	0.00345945	0.00403952	0.00597572	0.0337096	0.0512279	0.233274	0.202481	0.465833
í	0.0071632	0.00613643	0.011324	0.0249976	0.0382224	0.123178	0.387295	0.401684
n	0.0080722	0.00393027	0.0131669	0.0320238	0.0283186	0.0744158	0.379767	0.460305
é	0.0909361	0.0167349	0.0090835	0.0176479	0.0249846	0.0459871	0.564367	0.230259
</S>	0.000523716	0.000651799	0.00152514	0.00602433	0.0140293	0.0749028	0.249569	0.652774
