 	dieu	est	grand	et	tout-puissant	</S>
n	0.95833	0.026634	0.00558798	0.00647169	0.00202741	0.000948984
z	0.924014	0.0212009	0.0088158	0.0131628	0.031905	0.000901669
a	0.770336	0.0953001	0.0530028	0.0277003	0.0357713	0.017889
m	0.667961	0.101358	0.0436662	0.0237155	0.036016	0.127283
b	0.585155	0.257638	0.0857913	0.0233139	0.00226962	0.0458322
é	0.841351	0.11514	0.023948	0.00706591	0.00194055	0.0105541
a	0.0647752	0.509504	0.158601	0.0766972	0.0360699	0.154353
d	0.00908046	0.360377	0.419616	0.100446	0.0239042	0.0865767
í	0.0072888	0.173767	0.169498	0.0848397	0.0298541	0.534752
o	0.00716628	0.108116	0.360713	0.226759	0.0542997	0.242947
n	0.000836528	0.0293164	0.623268	0.261614	0.0597892	0.0251755
έ	0.00728315	0.0737091	0.539423	0.112682	0.0757162	0.191187
l	0.00574002	0.0435884	0.370511	0.268864	0.0943637	0.216933
a	0.0034501	0.067105	0.313896	0.456873	0.0776448	0.0810312
p	0.00112752	0.0163167	0.154755	0.514062	0.16449	0.149249
á	0.0054722	0.0279126	0.163116	0.403587	0.201605	0.198307
m	0.000474977	0.0171624	0.0739166	0.280259	0.364336	0.263851
i	0.00397443	0.0178383	0.0625472	0.439911	0.214898	0.260831
é	0.000700983	0.00669917	0.0269427	0.205655	0.110594	0.649408
t	0.000620496	0.0239667	0.0555705	0.198016	0.383999	0.337827
s	0.000482547	0.0142148	0.0706507	0.299543	0.387838	0.227271
ω	0.00147127	0.0142706	0.0873598	0.355685	0.377377	0.163837
</S>	0.000503331	0.00483287	0.0311024	0.119131	0.0611796	0.783251
