 	le	tisserin	à	ventre	noir	est	un	bel	oiseau	</S>
e	0.816951	0.0590339	0.0574959	0.0368336	0.0139244	0.00667775	0.00771283	0.00101447	0.000142154	0.000214294
s	0.0111491	0.984557	0.00168156	0.000776482	0.00074622	0.00015794	0.00025468	0.000494931	2.27354e-05	0.000159546
i	0.00873676	0.978561	0.00191193	0.00402245	0.00112712	0.00133872	0.00124281	0.00212638	0.000450091	0.00048301
i	0.0208995	0.883431	0.0312139	0.0113131	0.016681	0.00795342	0.00658773	0.00615605	0.000590782	0.0151729
y	0.124002	0.0570135	0.493834	0.179284	0.0581404	0.0322368	0.013384	0.00572939	0.000829649	0.0355468
ó	0.306822	0.104294	0.12628	0.203333	0.0337235	0.0614329	0.037127	0.0406135	0.00645402	0.0799199
n	0.27286	0.0342319	0.19627	0.242669	0.0666832	0.0561441	0.0204083	0.0159029	0.0217766	0.0730546
g	0.0771213	0.0151486	0.228762	0.127494	0.0302028	0.0332344	0.0140498	0.00550574	0.427833	0.0406482
w	0.0356975	0.0243013	0.195558	0.377051	0.0761416	0.0790349	0.0387374	0.0184316	0.128217	0.0268301
e	0.00915099	0.047269	0.189165	0.318904	0.157283	0.0918325	0.0637553	0.0200089	0.00653025	0.0961008
l	0.0154207	0.0128504	0.314973	0.223127	0.193412	0.13623	0.0574263	0.0154643	0.00277424	0.0283208
é	0.0556296	0.0264502	0.165152	0.341009	0.187669	0.0688625	0.0375825	0.0116234	0.0247913	0.0812303
é	0.0398605	0.00356633	0.179119	0.0868122	0.261267	0.307215	0.0704057	0.0202525	0.0086962	0.0228044
d	0.0304488	0.00743031	0.0586093	0.0352335	0.194899	0.406704	0.147934	0.0520428	0.0179106	0.0487881
í	0.00346104	0.00283175	0.0343178	0.0200874	0.0872395	0.263886	0.115933	0.127536	0.0103929	0.334315
l	0.0156444	0.00249709	0.154833	0.0489323	0.143192	0.175542	0.122923	0.102614	0.0468918	0.186929
o	0.00293355	0.00315248	0.00884183	0.0106662	0.0333392	0.22092	0.189846	0.224523	0.0234007	0.282377
p	0.00156399	0.00577552	0.0214142	0.0124386	0.012501	0.0661056	0.173218	0.560653	0.0294067	0.116923
f	0.000668193	0.00874302	0.0139352	0.0168123	0.0364624	0.0655903	0.221476	0.564401	0.0141116	0.0577993
u	0.00110509	0.0393347	0.0123184	0.0315983	0.059937	0.0457097	0.202002	0.500932	0.0167794	0.0902831
a	0.00410387	0.00414981	0.00863058	0.0394453	0.0292803	0.0462083	0.216225	0.555882	0.0188046	0.0772703
</S>	0.00389925	0.00118987	0.0455641	0.0212817	0.0200739	0.0671966	0.15736	0.155154	0.020689	0.507592
