 	nous	venons	de	couper	les	lianes	nommées	kwakwango	pour	construire	la	cuisine	</S>
b	0.919994	0.0487536	0.0147299	0.00592876	0.00317142	0.00282421	0.000797445	0.000611932	0.00135911	7.14018e-05	0.00132989	0.000296989	0.000131839
í	0.970135	0.00375317	0.00750878	0.00271452	0.00523473	0.000493334	9.2985e-05	2.86561e-05	0.00668329	3.46511e-05	0.00305566	0.000154639	0.000110717
s	0.949999	0.0265229	0.00696569	0.00594418	0.00495775	0.000437638	0.000144883	0.000108286	0.00274736	8.76028e-05	0.000443441	0.000390116	0.0012505
í	0.623116	0.0465826	0.067107	0.0942035	0.0850098	0.00121335	0.000513358	0.000267834	0.0464057	0.000737098	0.0087036	0.000870202	0.0252698
l	0.146193	0.258504	0.0810733	0.0640473	0.0301618	0.0203829	0.0236272	0.0203644	0.0395712	0.0143604	0.0207459	0.0375153	0.243454
é	0.0281221	0.059899	0.1637	0.124559	0.271538	0.0762435	0.00512072	0.00191443	0.110179	0.0101272	0.0426805	0.00203287	0.103884
w	0.0136635	0.755159	0.0828036	0.0508556	0.0290893	0.0478028	0.000741778	0.000586821	0.0043733	0.00707973	0.00265554	0.000214175	0.00497468
ú	0.0051654	0.609421	0.142807	0.0686787	0.0309334	0.0301026	0.0311206	0.036199	0.00483188	0.0263733	0.00234962	0.00513997	0.00687724
r	0.008313	0.0856293	0.359113	0.148928	0.114682	0.0525327	0.0665728	0.056082	0.0205392	0.0373557	0.0174517	0.0107656	0.0220337
u	0.0886003	0.129913	0.255414	0.129352	0.172994	0.0512952	0.0607743	0.0253143	0.0258702	0.00980137	0.0139057	0.00958277	0.0271828
o	0.0138634	0.0218145	0.405139	0.13937	0.281752	0.0709996	0.0452661	0.00376445	0.0103826	0.000796031	0.00411334	0.000668715	0.00206994
k	0.000131548	0.0138672	0.141496	0.426517	0.0791774	0.16763	0.104018	0.0351459	0.00474411	0.018495	0.00110711	0.00407239	0.00359762
w	3.1025e-05	0.000785831	0.026834	0.383972	0.026393	0.156846	0.207768	0.131108	0.00543085	0.0264821	0.00249624	0.0105716	0.0212815
