 	le	chef	de	notre	village	est	barbu	mais	la	barbe	du	prêtre	est	plus	longue	que	la	sienne	</S>
o	0.74195	0.204243	0.0261422	0.00937121	0.0105847	0.00221066	0.00178632	5.46628e-05	0.000419634	0.000140742	0.000538545	3.48737e-05	0.000151073	0.000275838	0.000423025	0.000709926	0.000836226	0.000105145	2.24911e-05
k	0.0120499	0.960629	0.00155269	0.00046724	0.0189494	0.000620037	0.00014398	0.000544405	0.000105554	0.000524362	7.49627e-05	5.83605e-05	7.34149e-05	0.000164348	0.000216548	0.000782335	0.00051491	0.00135446	0.00117444
o	0.00155986	0.979507	0.000872973	0.000221878	0.00354696	0.000901285	0.000161173	0.000261843	0.00034297	0.00222583	0.000400163	0.000701502	0.000402015	0.000985382	0.00113393	0.00145289	0.00110115	0.00339704	0.000824142
n	0.00150118	0.970685	0.00338653	0.00108907	0.00388167	0.00130309	0.000750099	0.000243745	0.000572351	0.00153041	0.000735532	0.000354397	0.000416228	0.000899559	0.00104672	0.00247472	0.00269889	0.00557094	0.000860243
d	0.00868386	0.934527	0.00313916	0.000441114	0.00853955	0.00176892	0.00148316	0.00230113	0.00107292	0.0035153	0.000580115	0.00108664	0.000784571	0.00240201	0.00239698	0.00378228	0.00260091	0.016558	0.00433682
z	0.0273244	0.956631	0.00590901	0.00117007	0.00257249	0.000268975	0.000193435	0.000636095	0.000201503	0.00072513	0.000167352	0.00039222	0.000103972	0.000174645	0.000145362	0.00047791	0.000142411	0.000462458	0.00230185
i	0.0229973	0.917871	0.00876327	0.00113692	0.0173923	0.000696226	0.000767808	0.00178066	0.000313074	0.00249584	0.000678199	0.00204397	0.000331601	0.000500953	0.000414832	0.00136571	0.000330037	0.00130457	0.0188157
y	0.0984532	0.0211962	0.773258	0.0359891	0.0195584	0.0210542	0.00475229	0.00221274	0.00440959	0.000419981	0.00308845	0.00147936	0.00282252	0.00131671	0.00179565	0.00198967	0.00151052	0.000242757	0.00445087
a	0.559376	0.0055719	0.161958	0.0847274	0.0640821	0.017257	0.00681967	0.0129356	0.0102421	0.00221727	0.00609447	0.00838225	0.00771186	0.00565601	0.0042774	0.00600008	0.00697544	0.010659	0.0190567
p	0.336866	0.00225913	0.0726543	0.353712	0.212718	0.00235603	0.000884748	0.00184593	0.00216017	0.00105247	0.00102244	0.0014563	0.00109959	0.00120854	0.000729662	0.00145202	0.00201192	0.00219967	0.00231185
o	0.00531746	0.00455265	0.0148258	0.0147724	0.940501	0.0053712	0.000881791	0.00187218	0.000464453	0.00285821	0.000379136	0.00351221	0.000273079	0.000448352	0.000573174	0.000551581	0.000275893	0.00102132	0.00154849
o	0.037523	0.0179448	0.0939261	0.0262384	0.7387	0.0609801	0.00435478	0.00267201	0.00171721	0.00200396	0.00115018	0.00505488	0.000573018	0.000609874	0.00117468	0.00117605	0.000883429	0.00121504	0.0021028
y	0.0317342	0.000277694	0.0891274	0.431577	0.0683319	0.326467	0.0157263	0.00573562	0.00777538	0.00156498	0.00225288	0.00255741	0.00242403	0.00172969	0.00204393	0.00216582	0.00101979	0.000415459	0.00707395
á	0.174956	0.000908235	0.124903	0.357686	0.0902825	0.181669	0.0112532	0.00952871	0.0136194	0.00294773	0.00585729	0.00476474	0.00526176	0.00312152	0.00281248	0.00228376	0.00305182	0.00264255	0.00245063
b	0.0106611	9.69654e-05	0.0103569	0.889963	0.0320426	0.0254024	0.0043434	0.00351653	0.00621407	0.00277032	0.00228445	0.00138543	0.00150409	0.00160162	0.00119016	0.00190713	0.00268834	0.00092859	0.00114336
í	0.0169749	0.000314843	0.0106936	0.844461	0.0354004	0.0386355	0.0315519	0.00244572	0.00257694	0.00491007	0.0031671	0.0030572	0.000896465	0.000927104	0.000765688	0.00157544	0.000534956	0.000397623	0.000713527
s	0.00607593	2.13811e-05	0.0141563	0.923713	0.0141485	0.0114823	0.0182459	0.00211162	0.00154484	0.000912163	0.00112673	0.000659874	0.000530446	0.000778389	0.000287439	0.00172686	0.000645476	0.000227659	0.0016048
í	0.0168423	0.00919085	0.0431147	0.294029	0.0666296	0.083805	0.0369017	0.150697	0.0386742	0.0478619	0.0314653	0.0227834	0.0212978	0.0152282	0.00796412	0.0443254	0.010631	0.00489513	0.053664
a	0.00155207	8.75231e-05	0.0352702	0.0801072	0.0374431	0.531984	0.0571543	0.0788344	0.0613538	0.0155202	0.0144326	0.0162128	0.005788	0.00495748	0.0103187	0.0142372	0.011424	0.00241846	0.0209041
d	0.00407456	0.000589239	0.0159673	0.0253187	0.0114739	0.578662	0.0529839	0.158104	0.0734504	0.0256083	0.0054317	0.0122017	0.00380084	0.00400555	0.00484957	0.00673223	0.0031419	0.00132531	0.0122792
i	0.00451967	6.65534e-05	0.00314656	0.044822	0.00200586	0.370203	0.0804585	0.209984	0.0856536	0.0187333	0.0164849	0.00998244	0.0155921	0.018105	0.0150287	0.0165974	0.00636893	0.00534264	0.0769042
l	0.00290438	4.79868e-05	0.00187567	0.0259128	0.00162446	0.195619	0.25414	0.142717	0.12061	0.0734614	0.0435366	0.0114234	0.0285609	0.0274472	0.0266912	0.00890094	0.0101271	0.00728222	0.0171166
a	0.00172982	3.60768e-05	0.00475114	0.0161749	0.0019949	0.0370826	0.0363067	0.382447	0.108634	0.131667	0.0359824	0.107597	0.018104	0.013846	0.014299	0.0140668	0.00594043	0.00714757	0.0621927
n	0.00149276	0.000141075	0.00139817	0.00688868	0.0020949	0.0136343	0.0406654	0.197422	0.0686799	0.372595	0.0710767	0.139497	0.00725391	0.00657542	0.0162974	0.0108859	0.00788333	0.017461	0.0180573
d	0.0015151	9.10088e-05	0.00110014	0.00944575	0.00023064	0.00501396	0.0312278	0.387275	0.078984	0.35457	0.0650407	0.0368806	0.00165197	0.00181989	0.00329749	0.00726087	0.00367765	0.00335108	0.00756597
ε	2.71079e-05	0.000120481	0.000134813	0.000366531	0.000292576	0.00205858	0.00722181	0.355576	0.0347732	0.514701	0.0270076	0.0424312	0.00060297	0.000959647	0.00202948	0.00203226	0.00111896	0.00405843	0.00448694
l	1.74901e-05	5.12977e-05	0.000201301	0.00202983	0.000214678	0.00541551	0.0177137	0.195321	0.0679606	0.431062	0.0944531	0.0372471	0.0112071	0.0185859	0.016179	0.0219773	0.0173035	0.0468114	0.016248
i	0.000319216	8.38537e-05	0.000566328	0.00233428	0.00029058	0.00661897	0.0287564	0.257212	0.144405	0.294373	0.0774213	0.0655387	0.0161897	0.0138308	0.016526	0.0143921	0.0128725	0.016133	0.0321361
n	0.000494258	7.38765e-05	0.000527377	0.000593819	0.000137445	0.00953727	0.0128773	0.111606	0.261062	0.0917435	0.195975	0.0542799	0.123216	0.0582556	0.0381194	0.0128145	0.0117895	0.00484671	0.0120508
d	0.00581748	0.000128661	0.000784522	0.000761261	4.79613e-05	0.00186929	0.00855893	0.291935	0.134537	0.163427	0.116787	0.0624908	0.0386546	0.036951	0.028203	0.0303243	0.0160011	0.0108956	0.0518252
z	0.000323805	9.24725e-05	0.000330333	0.000858094	0.0002929	0.00224922	0.00709689	0.302186	0.122807	0.295171	0.116035	0.0615329	0.0160968	0.0169898	0.0153956	0.0114064	0.00746785	0.010185	0.0134834
á	0.000160591	2.76904e-05	0.000162361	0.000417933	5.50552e-05	0.00108415	0.00784305	0.224953	0.0939905	0.150981	0.144281	0.0858243	0.0531388	0.052526	0.031527	0.0287198	0.0227406	0.0457864	0.055781
á	0.000596827	2.71941e-05	0.000797701	0.00180791	0.000151699	0.0042535	0.00423037	0.0309264	0.119683	0.055245	0.219127	0.0712281	0.188678	0.0840057	0.0913356	0.06475	0.0319691	0.00640421	0.0247824
l	0.00105514	0.000198347	0.00462643	0.00793784	0.000218369	0.00963157	0.00188252	0.00557521	0.0654663	0.0141538	0.0665511	0.0445273	0.209565	0.133637	0.217709	0.124365	0.0695373	0.00704311	0.0163208
e	0.000448538	4.40085e-05	0.00168797	0.00686205	0.000119538	0.00389675	0.00124641	0.00681807	0.0244934	0.0144017	0.0367265	0.0759085	0.120911	0.105796	0.221035	0.150346	0.0584085	0.0204305	0.150419
n	6.60089e-05	2.2256e-05	0.000670265	0.00119917	0.000164745	0.000998689	0.00123445	0.00621965	0.0159427	0.0187489	0.0459988	0.0562676	0.120376	0.127793	0.220673	0.144215	0.12565	0.0571839	0.0565755
d	0.000912563	2.94149e-05	0.000609512	0.00295435	7.94958e-05	0.000867792	0.00220936	0.0571667	0.026424	0.0660552	0.0498298	0.0474868	0.0702116	0.0979071	0.143351	0.208276	0.0896252	0.0446493	0.0913547
ε	0.000104696	0.000319265	0.000389299	0.000718262	0.000325372	0.000816878	0.000809554	0.0365213	0.0208498	0.158824	0.0456695	0.127957	0.0342778	0.0583552	0.145147	0.123325	0.0803593	0.108454	0.0567767
l	1.87526e-05	1.73799e-05	5.14584e-05	0.000431173	3.01043e-05	0.00047108	0.00173452	0.0298194	0.0177865	0.116297	0.0381933	0.0354588	0.0277664	0.0431483	0.0863243	0.0985831	0.119499	0.287813	0.0965564
i	0.000170927	1.51346e-05	0.00019116	0.000344979	1.94132e-05	0.000527646	0.00180889	0.0201372	0.0296545	0.0528578	0.0491627	0.0549623	0.104039	0.12519	0.16737	0.146484	0.12589	0.0601859	0.0609881
l	0.000385309	1.89594e-05	0.000278038	0.000159869	3.4736e-05	0.000655096	0.000547265	0.0035846	0.0162256	0.00310116	0.0220531	0.00862504	0.257182	0.158934	0.11322	0.139506	0.170769	0.0364061	0.0683141
á	0.000306568	5.65013e-05	0.000906076	0.000787183	0.000192911	0.00158329	0.000972177	0.00987985	0.0145659	0.00833503	0.0167489	0.0388421	0.0961692	0.141921	0.182467	0.16532	0.0928421	0.0567727	0.171333
p	0.000410285	8.84882e-05	0.00306613	0.00612694	0.00070752	0.00145644	0.00118243	0.0013158	0.010565	0.00146142	0.0123382	0.00458734	0.0610613	0.0841362	0.0856615	0.146761	0.379277	0.145384	0.0544138
