 	le	chef	du	village	est	absent	</S>
o	0.915156	0.0451257	0.0255588	0.0128955	0.00105592	0.000174509	3.31388e-05
k	0.0293806	0.959551	0.0036505	0.0066975	0.000454544	0.000143672	0.000122396
o	0.000527576	0.998937	2.03995e-05	0.000427642	5.84291e-06	5.374e-05	2.82233e-05
n	0.00013621	0.994569	0.000395673	0.00434482	6.87388e-05	0.000387076	9.89002e-05
d	0.0176618	0.947311	0.00385298	0.0212943	0.00208916	0.00196524	0.0058252
z	0.0401473	0.929883	0.00904314	0.014951	0.000333516	0.000241348	0.00540059
i	0.0191428	0.951517	0.00736799	0.0116263	0.000664844	0.00120684	0.00847403
y	0.0744184	0.0134232	0.834894	0.0481476	0.0221987	0.00087792	0.00604024
a	0.512279	0.00292093	0.287654	0.136612	0.0420489	0.00204385	0.0164405
p	0.139706	0.00149852	0.159697	0.693311	0.00392887	0.000105466	0.00175288
o	0.00556654	0.000742686	0.00261893	0.986932	0.000701831	0.0027933	0.000644951
o	0.0055057	0.00122236	0.0120004	0.963028	0.00364531	0.0130096	0.0015883
a	0.0372501	0.000410029	0.110559	0.100752	0.652971	0.0804882	0.01757
d	0.0494615	0.00133749	0.0453246	0.0171945	0.702336	0.103731	0.0806152
í	0.00227054	0.000157423	0.00149023	0.0027038	0.2488	0.00834142	0.736237
k	0.00877908	0.000298452	0.0147656	0.0190563	0.180292	0.55619	0.220618
a	0.000915898	0.00102497	0.00152574	0.0300419	0.00879242	0.924216	0.0334834
á	0.000517654	0.00120677	0.00225595	0.0393139	0.0209322	0.686653	0.24912
</S>	0.0020615	0.000235738	0.0131785	0.00391159	0.233612	0.190321	0.55668
