 	aujourd'	hui	le	féticheur	va	prélever	du	sang	sur	ce	malade	</S>
p	0.546163	0.203489	0.136159	0.0844445	0.0194243	0.000370951	0.00220575	0.00256068	0.00169921	0.00253726	0.000670562	0.000276301
á	0.0577055	0.933175	0.0040184	0.000830804	0.00162859	0.0006492	0.000327642	0.000100704	0.000137544	0.000209382	0.00114771	6.92194e-05
b	0.012423	0.970691	0.00477264	0.00174862	0.00400561	0.00145125	0.00051158	2.13905e-05	0.000287069	9.52026e-05	0.000189118	0.00380319
h	0.153853	0.740753	0.00802655	0.000891438	0.013018	0.0370014	0.0149106	0.000329247	0.00248256	0.00123943	0.00258209	0.0249127
a	0.2412	0.61113	0.0646644	0.0225985	0.0145243	0.00742314	0.00355417	0.000373042	0.00114203	0.00107077	0.00543895	0.0268809
n	0.225211	0.0311902	0.45147	0.0538323	0.131109	0.0114976	0.0226987	0.00917776	0.0205691	0.0190433	0.00259358	0.0216066
g	0.0261536	0.000425792	0.0878931	0.817677	0.0263418	0.00045096	0.00221027	0.0114927	0.00308644	0.00224103	0.000197365	0.0218295
a	0.00704309	0.000312389	0.0324983	0.948649	0.00312125	0.000156753	0.000182877	0.00640286	0.000199654	0.000146711	9.79041e-05	0.0011889
n	0.0536118	0.0137707	0.268847	0.0686722	0.476712	0.00465583	0.0242407	0.0352958	0.0119169	0.0115	0.00152621	0.029251
g	0.12507	0.0011092	0.202971	0.464529	0.121849	0.0028525	0.00764444	0.00467787	0.0115628	0.00984184	0.00147899	0.0464126
a	0.00733632	0.000576641	0.0886849	0.857751	0.0228459	0.000547808	0.000907445	0.0170767	0.000485283	0.000388954	0.000129728	0.00326916
l	0.0305073	0.0134056	0.18372	0.0557729	0.635163	0.00225935	0.0249297	0.0323814	0.00643854	0.00713448	0.000914717	0.00737276
á	0.0691311	0.0383484	0.271767	0.112832	0.32102	0.0351042	0.0293983	0.0129745	0.0158555	0.0107511	0.0023716	0.0804464
a	0.0914652	0.0323299	0.421308	0.0257678	0.153197	0.0277232	0.188307	0.0206597	0.0128922	0.0145783	0.00301707	0.00875513
b	0.00253589	0.000927826	0.00206577	0.0110065	0.0381331	0.617034	0.0669547	0.241918	0.00782732	0.00322299	0.00253883	0.00583535
h	0.00112209	0.00019962	0.000593685	0.00135874	0.0102121	0.819348	0.122136	0.0043654	0.0161489	0.00692255	0.00171178	0.0158816
í	0.000537375	8.50432e-05	0.000113885	0.000283088	0.00144011	0.973689	0.0122206	0.000846631	0.00309607	0.000777341	0.00120824	0.00570266
b	0.000783338	0.00200454	0.000506009	0.00100374	0.0193477	0.880896	0.0140642	0.00241328	0.0212385	0.00633282	0.0057286	0.0456813
h	0.0019451	0.00209561	0.00402382	0.00493659	0.0279534	0.727743	0.143928	0.0038008	0.0293865	0.0135183	0.00623856	0.03443
á	0.00373317	0.0121813	0.00588352	0.00786866	0.0122748	0.354142	0.108874	0.00843662	0.0996189	0.0483372	0.00736868	0.331281
o	0.0212913	0.00397268	0.0162561	0.00327556	0.0139178	0.0446008	0.307404	0.0140037	0.298133	0.188317	0.0164457	0.0723832
k	0.00624519	0.000809477	0.000883817	0.000762195	0.00111672	0.00825441	0.0117119	0.00975225	0.172726	0.0798449	0.676443	0.03145
ω	0.000366053	0.000310452	4.58153e-05	4.71783e-05	0.000673093	0.00416642	0.00407699	0.00245466	0.0100187	0.0115179	0.953083	0.0132394
n	7.55431e-05	8.6232e-05	5.77624e-05	3.69468e-05	0.00173183	0.00441263	0.00287092	0.0063097	0.00803357	0.00589321	0.954191	0.0163005
í	0.00250487	0.00110589	0.00075053	0.00040233	0.00696132	0.00602918	0.00882273	0.00873037	0.115362	0.0673935	0.631256	0.150682
m	0.00716998	0.000874439	0.00551929	0.000128084	0.00194236	0.00100745	0.00817948	0.00194598	0.247137	0.259082	0.0992427	0.367771
u	0.0422374	0.0129072	0.0243633	0.000463328	0.00625624	0.000574326	0.0217016	0.000115922	0.166367	0.276829	0.0432798	0.404905
</S>	0.00749935	0.00088036	0.00104133	0.00030436	0.000782816	0.000103977	0.00615794	0.000254704	0.155199	0.271026	0.128035	0.428716
