 	une	marmite	en	aluminium	est	durable	</S>
n	0.205124	0.688003	0.0520907	0.0444527	0.00588936	0.00388232	0.000557779
z	0.34499	0.651588	0.00240273	0.000750089	3.51694e-05	0.000177348	5.69698e-05
ú	0.0242989	0.97184	0.000927223	0.00268682	4.0139e-05	0.000153022	5.43482e-05
n	0.234332	0.758267	0.00231519	0.00446157	3.41715e-05	8.92532e-05	0.000501623
g	0.792079	0.134387	0.0258576	0.00637609	0.00671886	0.000590216	0.0339913
u	0.699886	0.263135	0.013611	0.0134766	0.000960419	0.000396424	0.00853495
y	0.162542	0.192232	0.53176	0.0676683	0.0249422	0.00304052	0.0178153
á	0.678667	0.0359223	0.208553	0.0383204	0.0152491	0.000515036	0.0227726
k	0.465124	0.020179	0.19032	0.292827	0.015939	0.0013688	0.0142424
ω	0.00718425	0.00303285	0.034684	0.942808	0.00176027	0.00757284	0.0029576
k	0.00652506	0.00420132	0.0498774	0.926171	0.004338	0.00450645	0.00438034
ώ	0.0190165	0.0142619	0.0596041	0.885672	0.0151686	0.00225566	0.00402124
t	0.0555229	0.0182264	0.265159	0.515569	0.099679	0.0221642	0.0236788
i	0.0366205	0.0102701	0.0662244	0.810243	0.0314699	0.00672051	0.0384515
é	0.0696811	0.00124654	0.161317	0.039904	0.649486	0.0340301	0.0443357
d	0.00928839	0.000228775	0.0818573	0.00409024	0.780799	0.0337061	0.0900298
í	0.00293601	7.34749e-06	0.0274036	0.000955358	0.158764	0.0759379	0.733995
l	0.016647	0.000468267	0.041087	0.00805347	0.203005	0.458184	0.272555
a	0.00191877	0.00013196	0.0161586	0.00759209	0.0667191	0.266404	0.641076
l	0.0453458	0.00373423	0.042672	0.0692679	0.0487167	0.488333	0.30193
e	0.0228317	0.000898888	0.0655348	0.0150421	0.0249277	0.673445	0.19732
b	0.00125578	2.51954e-05	0.00807089	0.013665	0.0166735	0.677671	0.282639
í	0.000943482	2.02517e-05	0.0133961	0.0187281	0.0379015	0.832399	0.0966115
i	0.000207823	5.52843e-05	0.00205443	0.00451512	0.0173445	0.595656	0.380167
</S>	0.0037107	0.00035651	0.0240508	0.0202155	0.0495718	0.387679	0.514415
