 	il	s'	est	levé	et	j'	en	ai	fait	autant	</S>
w	0.636427	0.188311	0.110244	0.00633455	0.0283333	0.00855383	0.00453425	0.00361754	0.0110143	0.00181461	0.000815291
a	0.684837	0.132018	0.0374106	0.014309	0.0559899	0.0110474	0.0159935	0.00869107	0.0272185	0.0115425	0.000942756
a	0.0585691	0.480025	0.256843	0.0401744	0.0534894	0.0211187	0.0323295	0.0180002	0.0151742	0.00365956	0.0206164
n	0.01895	0.234022	0.254675	0.0659723	0.102566	0.0321855	0.111757	0.0778731	0.0366299	0.00734509	0.0580249
y	0.00910933	0.114176	0.103393	0.179311	0.0676109	0.251524	0.0375839	0.096306	0.0127653	0.0138137	0.114407
á	0.0164743	0.0772307	0.0629101	0.125458	0.0406583	0.599139	0.0130228	0.0348045	0.00281379	0.00755893	0.0199292
l	0.00950879	0.0950578	0.144012	0.158798	0.150398	0.124587	0.0896392	0.0981683	0.0107516	0.0128894	0.10619
í	0.135393	0.114691	0.188674	0.0455864	0.205196	0.0843239	0.0470175	0.040243	0.018146	0.0102126	0.110517
í	0.0251193	0.0892509	0.319472	0.0735134	0.136246	0.111087	0.132988	0.0592855	0.029763	0.00302824	0.020247
n	0.00122012	0.00958125	0.0163488	0.00997827	0.114305	0.0434163	0.44642	0.27407	0.0557611	0.00857232	0.0203273
g	0.000240224	0.00460764	0.00659222	0.0459893	0.0331318	0.539703	0.0745163	0.244042	0.0101804	0.0161096	0.0248881
á	0.000797073	0.0256865	0.0379258	0.177471	0.103941	0.384373	0.048	0.157201	0.0117586	0.0330534	0.0197931
b	0.00543585	0.0140665	0.0728733	0.0154947	0.16252	0.0847063	0.251425	0.155194	0.132667	0.0328795	0.0727381
h	0.0106673	0.00639309	0.0125461	0.0663096	0.249123	0.0447544	0.216939	0.0979383	0.128363	0.0854622	0.0815039
í	0.00921155	0.00706134	0.0419122	0.446045	0.0716488	0.0620591	0.0907735	0.0574088	0.0721158	0.0238316	0.117932
i	0.00561551	0.00550208	0.0225422	0.0346603	0.109715	0.107256	0.123673	0.132166	0.267159	0.0801417	0.111569
k	0.00119842	0.00346296	0.00554309	0.00403835	0.0247378	0.0165821	0.0614875	0.116104	0.275867	0.355291	0.135688
y	0.000982191	0.00112614	0.000892151	0.00123655	0.0210854	0.00192027	0.0685512	0.0753195	0.332578	0.369899	0.126409
e	0.000534979	0.00047848	0.000760826	0.00105151	0.0172177	0.00341034	0.0629421	0.0809346	0.263937	0.432005	0.136728
b	0.000355844	0.000997459	0.00265019	0.00276454	0.00829364	0.0121361	0.0480065	0.104724	0.27844	0.240734	0.300898
v	0.000445243	0.000349575	0.000569422	0.00239311	0.00714106	0.00636444	0.0174524	0.0641973	0.20395	0.321133	0.376005
á	0.000964998	0.000975667	0.00320244	0.0111973	0.00749598	0.00936754	0.0380861	0.110252	0.281915	0.212191	0.324352
a	0.00220361	0.00211989	0.00423478	0.016133	0.00444631	0.0142307	0.00452089	0.0117708	0.0498598	0.100736	0.789744
b	0.00104609	0.00499294	0.0145606	0.0101613	0.0169399	0.0107168	0.0305079	0.082288	0.175779	0.357017	0.29599
v	0.00515346	0.00616195	0.011708	0.0358053	0.0470602	0.0117993	0.0608897	0.0547815	0.22586	0.415914	0.124866
ú	0.00144193	0.00150139	0.00734137	0.109129	0.00759463	0.00504389	0.0263014	0.0427455	0.155922	0.425415	0.217564
u	0.000449781	0.00126326	0.00144782	0.000503806	0.00380987	0.00312435	0.0114435	0.0372425	0.194763	0.270404	0.475548
</S>	0.00285327	0.0014583	0.00439926	0.000488749	0.00429923	0.00218023	0.00774944	0.0282027	0.193122	0.19588	0.559367
