 	pars	d'	abord	</S>
m	0.452308	0.526412	0.0201755	0.00110435
o	0.455847	0.128773	0.0277572	0.387623
b	0.957251	0.00618945	0.005625	0.030934
á	0.393617	0.122541	0.378422	0.10542
á	0.243993	0.0330271	0.11692	0.60606
n	0.0696778	0.42522	0.34489	0.160212
d	0.0436257	0.183428	0.662011	0.110935
á	0.0946812	0.103419	0.723173	0.0787274
ω	0.0784344	0.266479	0.160293	0.494793
d	0.361168	0.248652	0.178726	0.211453
z	0.278625	0.0827494	0.0273917	0.611234
w	0.819605	0.0245872	0.0265774	0.12923
a	0.510476	0.0412331	0.0239754	0.424315
</S>	0.0296298	0.114099	0.0242549	0.832016
