 	celui-ci	est	mon	champ	celui-là	est	à	mon	oncle	</S>
y	0.482669	0.143318	0.0281119	0.044797	0.0795872	0.105269	0.0493018	0.061146	0.00534391	0.000456868
é	0.016189	0.00748482	0.0543535	0.074309	0.698028	0.091988	0.0101339	0.0392435	0.00128194	0.0069882
n	0.083788	0.0451139	0.0190616	0.235352	0.291335	0.135903	0.0585289	0.02672	0.0533463	0.0508502
g	0.00428106	0.0165392	0.0357564	0.763901	0.0512531	0.00384788	0.00238149	0.0127611	0.0844434	0.0248353
o	0.00135604	0.00453553	0.0113212	0.935388	0.0295005	0.000893631	0.000311703	0.00112337	0.0141878	0.00138191
n	0.000924407	0.00696634	0.0267069	0.716915	0.174769	0.0124335	0.0106295	0.00971571	0.0201729	0.0207664
d	0.0808563	0.212723	0.051653	0.116189	0.110996	0.0364491	0.0449991	0.0296705	0.00948081	0.306982
a	0.0585444	0.05957	0.0398676	0.477566	0.155518	0.0271493	0.0390501	0.0345823	0.0046686	0.103484
y	0.0127933	0.233477	0.368554	0.0910176	0.17731	0.0650207	0.0173324	0.0215984	0.00132797	0.0115683
á	0.0164303	0.0568557	0.0492551	0.0365942	0.173734	0.45253	0.135667	0.044655	0.00688381	0.0273949
n	0.00115444	0.00584167	0.509632	0.0536982	0.259146	0.0899898	0.025404	0.0445328	0.00682903	0.00377134
g	4.47031e-05	0.00128134	0.359791	0.120011	0.437729	0.0337791	0.0066925	0.0186856	0.0209264	0.00105939
á	0.000123543	0.00264184	0.0313357	0.161374	0.512154	0.122001	0.0263531	0.0193553	0.117147	0.00751419
y	0.00193389	0.00656106	0.00860914	0.00593651	0.145001	0.591462	0.193305	0.0302239	0.0133649	0.00360192
í	0.00134677	0.0172866	0.0709783	0.0111815	0.0925868	0.435221	0.252493	0.0648279	0.0376411	0.0164375
i	0.000963419	0.00906007	0.0767231	0.00301241	0.0352053	0.224248	0.357733	0.201403	0.0730447	0.0186074
y	0.00239902	0.00454542	0.00317905	0.00120424	0.0146366	0.129182	0.595739	0.0421779	0.0893117	0.117625
á	0.000661014	0.00511587	0.0109562	0.00142035	0.0368494	0.147455	0.601619	0.0930395	0.0446012	0.0582823
n	0.000435331	0.00273981	0.0750717	0.00155144	0.0225383	0.0593969	0.233323	0.369743	0.11909	0.11611
g	0.000636479	0.00360182	0.0379624	0.0204154	0.0831885	0.0777047	0.21965	0.381289	0.100103	0.0754487
ó	0.000100684	0.0004841	0.0178093	0.0481556	0.0828494	0.0253907	0.0198788	0.116071	0.651733	0.0375276
l	0.000267194	0.00156556	0.010387	0.00717316	0.0402693	0.0359475	0.0431011	0.220258	0.453029	0.188003
ó	0.00214594	0.00428703	0.00815018	0.00570443	0.0303824	0.043541	0.073776	0.135651	0.514176	0.182186
m	4.14206e-05	0.00064868	0.00839837	0.000741644	0.00499302	0.0107501	0.0141645	0.0167874	0.823593	0.119882
i	0.000989621	0.00476907	0.00310465	8.96003e-05	0.012269	0.0414689	0.11202	0.103472	0.0252855	0.696531
</S>	0.00307917	0.00617281	0.00229698	0.00028424	0.00747033	0.0114727	0.0781529	0.19454	0.0441103	0.652421
