 	cet	homme	est	marié	à	huit	femmes	</S>
i	0.683195	0.299076	0.0130953	0.00189449	0.00122964	0.00101611	0.000460119	3.26521e-05
b	0.106759	0.876823	0.00997155	0.00455768	0.00102117	0.000119592	0.000303659	0.000444207
a	0.00647805	0.99184	0.000831602	0.000633763	5.88014e-05	1.57066e-05	7.53798e-05	6.69759e-05
a	0.0327573	0.957087	0.00397513	0.00193981	0.000714909	8.3201e-05	0.000205374	0.00323777
d	0.623655	0.155047	0.147927	0.00503321	0.00837185	0.00035414	0.0021808	0.0574307
í	0.0764624	0.0157441	0.133745	0.0424135	0.13034	0.0301392	0.0773793	0.493777
í	0.0598946	0.012497	0.559454	0.116354	0.0621501	0.00896053	0.0197675	0.160923
d	0.0153263	0.0043541	0.334278	0.453167	0.110315	0.0139713	0.0273318	0.0412566
í	0.00304353	0.00097984	0.128932	0.489923	0.201577	0.0117293	0.0816016	0.0822147
l	0.00497593	0.00149813	0.157416	0.456817	0.162233	0.0103108	0.0319558	0.174793
a	0.00193284	0.000740732	0.12837	0.49388	0.191872	0.0366096	0.0138521	0.132743
b	0.00814372	0.00798685	0.0374649	0.596941	0.182645	0.0871166	0.0448751	0.0348267
á	0.0187053	0.0207087	0.040065	0.783013	0.0643587	0.0212256	0.0484346	0.00348964
s	0.00166081	0.0077468	0.0311575	0.789033	0.0358008	0.0318086	0.00742181	0.0953707
i	0.00234721	0.00343858	0.0307497	0.703384	0.164797	0.0265141	0.00287986	0.0658894
m	0.00486364	0.00166702	0.0982324	0.229756	0.470133	0.0582408	0.052358	0.0847488
w	0.0469469	0.00477606	0.0133937	0.0168671	0.158426	0.454249	0.139707	0.165634
a	0.00891782	0.00444623	0.00339276	0.0188818	0.0513503	0.700755	0.178649	0.0336075
a	0.00681054	0.000586267	0.0113218	0.0341613	0.192362	0.179849	0.0492615	0.525648
m	0.00501143	0.001034	0.0555767	0.0137937	0.441813	0.133449	0.0969397	0.252382
b	0.0204339	0.00667995	0.0208705	0.00644304	0.047866	0.291829	0.277118	0.32876
e	0.0454235	0.00157173	0.00303297	0.00349772	0.0798191	0.672236	0.105515	0.0889039
</S>	0.00433314	0.00167889	0.0166091	0.0305614	0.165778	0.15014	0.0606931	0.570206
