 	les	champignons	mous	pourrissent	dans	la	forêt	car	ils	sont	incomestibles	</S>
a	0.883297	0.0796634	0.0223262	0.00408196	0.00366993	0.00197635	0.00119621	0.00214974	0.000790964	0.000831664	9.27807e-06	7.36247e-06
t	0.0397577	0.953562	0.00520271	0.000437117	9.92113e-05	0.000210877	0.000147042	0.000102004	5.16256e-05	0.000138569	0.000231607	5.96217e-05
u	0.00702597	0.976104	0.0124732	0.000740862	0.000169729	0.000682106	0.00117066	0.000396532	0.000113209	0.000181874	0.000548372	0.000393142
é	0.00603435	0.983183	0.00549101	0.000949802	0.000171165	0.000660276	0.000739949	0.000198079	5.96613e-05	0.000160186	0.000680638	0.00167172
m	0.471538	0.0724489	0.335111	0.00730191	0.0277676	0.0107799	0.00437607	0.00642378	0.0052718	0.0175544	0.000923621	0.0405033
á	0.153025	0.125334	0.420743	0.160443	0.0646943	0.0210766	0.00674042	0.00797366	0.00191392	0.0131883	0.00305328	0.0218146
m	0.393709	0.010512	0.42613	0.08116	0.0162615	0.0119812	0.00889293	0.00892046	0.0154315	0.00661349	0.00364339	0.0167451
b	0.0177788	0.00186743	0.0199127	0.943209	0.0110642	0.00275392	0.000313775	0.000340935	0.000477409	0.000307922	0.000596108	0.00137754
v	0.00291773	0.00327453	0.0138457	0.972332	0.00365056	0.00156525	0.000530551	0.00063321	0.000714098	0.000106676	0.00010119	0.000328586
á	0.00840719	0.028308	0.0265208	0.876254	0.0143352	0.00636869	0.0022324	0.00284831	0.0102403	0.000301173	0.000387497	0.0237962
n	0.0215727	0.00225637	0.0167167	0.920894	0.00723925	0.00249614	0.000477141	0.00137445	0.0107611	0.000298518	5.29205e-05	0.0158609
d	0.0667539	0.0167092	0.443699	0.212076	0.0782252	0.03259	0.0162339	0.0548968	0.0203711	0.0128183	0.00215363	0.0434728
é	0.0446847	0.0197993	0.240826	0.426048	0.0432315	0.02582	0.0217374	0.0463215	0.00607146	0.00421737	0.00493582	0.116307
m	0.0607837	0.00415415	0.490148	0.126681	0.226513	0.0389959	0.0120498	0.0106356	0.00798441	0.0111595	0.000755467	0.0101396
