 	vous	montrez	de	la	gloutonnerie	en	mangeant	de	man	gues	vertes	</S>
b	0.733506	0.134096	0.0949993	0.0211594	0.00211737	0.00733345	0.00128999	0.00173738	0.00134276	0.000451811	0.00187104	9.52098e-05
í	0.85335	0.115897	0.0137479	0.00541732	0.00130757	0.00280697	0.00310735	0.00145542	0.00117823	0.00101551	0.000677003	3.91045e-05
n	0.963809	0.0335316	0.00119358	0.000420142	0.000150155	0.000341408	0.000128848	5.49068e-05	0.000140029	9.96961e-05	8.48675e-05	4.57928e-05
í	0.897877	0.0745051	0.00739966	0.0053596	0.00899195	0.0027781	0.000537478	9.01572e-05	8.43613e-05	0.000491453	7.1798e-05	0.00181342
l	0.0512648	0.362276	0.15735	0.0900294	0.0317481	0.0274187	0.0199826	0.0248991	0.0197392	0.0067958	0.0144877	0.194008
é	0.00915732	0.0734513	0.264331	0.23231	0.109792	0.104526	0.0472299	0.0321505	0.010635	0.00322418	0.0104935	0.102699
e	0.00646575	0.402827	0.292873	0.225375	0.0547235	0.00498967	0.002399	0.000785212	0.000175625	0.000667817	0.000195569	0.00852276
d	0.00295898	0.24185	0.221207	0.39951	0.0478192	0.00385735	0.00568323	0.00251707	0.00116186	0.00432738	0.00117368	0.0679334
z	0.00461853	0.127921	0.0821005	0.459943	0.307424	0.002397	0.00246795	0.000321377	0.000116447	0.00185673	0.000124735	0.0107092
á	0.016349	0.0270654	0.14534	0.492252	0.30958	0.00192647	0.00145384	0.000310625	0.000187747	0.00352705	0.000118932	0.00188924
á	0.00315613	0.0499393	0.155077	0.49029	0.0731746	0.0299587	0.0108331	0.0233829	0.012666	0.0217055	0.00969465	0.120122
a	0.0103669	0.0205185	0.299709	0.42042	0.150241	0.0666214	0.00415834	0.00602704	0.00491649	0.00422781	0.00331526	0.00947823
m	0.00169948	0.0212701	0.045504	0.325489	0.496051	0.0693489	0.0217859	0.00397243	0.00337836	0.00467972	0.0038899	0.002931
b	0.000709146	0.00424058	0.0123408	0.0980483	0.736102	0.0950318	0.011062	0.00644327	0.00440704	0.0215666	0.00110287	0.00894556
á	0.000235868	0.00573731	0.00283375	0.0321222	0.916888	0.0229544	0.00790703	0.000581464	0.000692896	0.0088181	0.0001588	0.00106987
n	0.00873552	0.0251436	0.0172469	0.0554903	0.535224	0.0774339	0.0237681	0.0109031	0.015413	0.102588	0.003003	0.125051
g	0.00318592	0.0636681	0.137358	0.221905	0.388335	0.0800619	0.0380668	0.0104937	0.0036749	0.00734181	0.00276581	0.0431436
é	0.00756929	0.0981923	0.114669	0.117242	0.465014	0.0807287	0.0847498	0.00736245	0.00386306	0.00290338	0.0021463	0.0155594
b	0.000982103	0.0125862	0.168036	0.14358	0.129198	0.40369	0.0454155	0.0298349	0.0125347	0.00576843	0.00570351	0.0426712
á	0.0137093	0.00720057	0.0275013	0.0382979	0.0306524	0.268209	0.165475	0.222894	0.0990869	0.028628	0.0474679	0.0508774
b	0.153489	0.0450326	0.0563525	0.0221127	0.0226549	0.268084	0.152458	0.072017	0.0601645	0.0163648	0.0456612	0.0856094
o	0.0157664	0.00211714	0.00190271	0.00440747	0.0111673	0.167999	0.531065	0.0605043	0.0870181	0.0371436	0.0718469	0.00906159
s	0.000113494	0.00339769	0.00374367	0.0179327	0.0676268	0.128669	0.644034	0.0357311	0.037966	0.02795	0.0155668	0.0172691
i	0.000314175	0.00164318	0.00172893	0.0115236	0.0693819	0.231737	0.239983	0.200505	0.0996344	0.072043	0.0101788	0.0613276
m	5.0814e-05	0.00255517	0.0040581	0.00860587	0.0192493	0.1966	0.190379	0.248932	0.100551	0.0703635	0.0289761	0.12968
ó	0.00025673	0.0012431	0.00169869	0.00306086	0.00633484	0.0562205	0.0770665	0.259147	0.220335	0.220944	0.015428	0.138264
m	0.000622716	0.00187348	0.00412006	0.00330507	0.00369827	0.0156045	0.120254	0.157852	0.259914	0.299854	0.105191	0.0277109
w	0.000226392	0.00171851	0.00113178	0.00256343	0.00433555	0.00645364	0.0403184	0.0707137	0.139061	0.590722	0.0465514	0.0962037
é	0.00231396	0.00074638	0.000202585	0.000519719	0.00410405	0.00628236	0.102872	0.0334063	0.177245	0.642566	0.0244767	0.00526522
b	0.00112444	0.000631538	0.00041607	0.000630459	0.00937355	0.0373364	0.108584	0.0986047	0.326826	0.382884	0.0152049	0.0183836
h	7.03669e-05	0.00121178	0.000664519	0.00127743	0.0055507	0.0120525	0.0657674	0.205411	0.294004	0.291615	0.0350923	0.087283
é	0.000518769	0.00156954	0.000559506	0.00180881	0.0250202	0.0134064	0.11733	0.144225	0.0697788	0.43146	0.00903224	0.185291
l	2.24699e-05	0.000587055	0.00107991	0.00277691	0.00884314	0.0148955	0.12431	0.177828	0.095418	0.102141	0.0911194	0.380978
é	0.000359893	0.00183389	0.00232442	0.00568047	0.00827545	0.0188551	0.0448813	0.185412	0.230463	0.217828	0.138314	0.145773
</S>	0.000581429	0.00148755	0.00569127	0.00439557	0.00376081	0.0143968	0.00768671	0.110628	0.100249	0.0679317	0.144615	0.538576
