 	ce	palmier	a	produit	deux	régimes	de	noix	</S>
i	0.249866	0.709421	0.0127995	0.00253618	0.0108561	0.00739844	0.00575293	0.00106462	0.00030598
b	0.181384	0.5832	0.0555586	0.138922	0.0243847	0.0097271	0.00213354	0.00163206	0.00305808
í	0.0110279	0.937823	0.00358824	0.0287389	0.00125574	0.00312626	0.000526346	0.0134329	0.000480385
a	0.0361429	0.810322	0.0156339	0.0325502	0.00651201	0.00495499	0.00489329	0.0428078	0.0461833
d	0.70252	0.0531335	0.0932356	0.0213268	0.021565	0.0012422	0.00976307	0.000771119	0.0964425
í	0.0502512	0.00213508	0.0428194	0.00501946	0.00803517	0.00173092	0.00657182	0.00751268	0.875924
í	0.0739892	0.0511222	0.336407	0.0214924	0.0481378	0.020461	0.032732	0.00774151	0.407917
b	0.0499382	0.0148744	0.554164	0.106238	0.130751	0.0195024	0.0180348	0.00389279	0.102604
ó	0.0086866	0.0224594	0.26366	0.168929	0.263576	0.0308936	0.120508	0.0286432	0.0926446
r	0.0215044	0.0683563	0.268847	0.10387	0.159749	0.0250306	0.0835459	0.0445047	0.224592
i	0.0312696	0.00366089	0.224309	0.130875	0.171045	0.187332	0.0767794	0.0142699	0.160459
i	0.0197421	0.0283747	0.199929	0.03017	0.30176	0.095839	0.184071	0.04973	0.0903843
t	0.00968516	0.0201467	0.109433	0.120567	0.162147	0.166173	0.0643326	0.0307946	0.316722
o	0.00284396	0.00332438	0.0597083	0.192313	0.0558569	0.450963	0.0614223	0.0269822	0.146586
n	0.0147217	0.00136846	0.0575634	0.224588	0.0985657	0.301387	0.156425	0.0277288	0.117652
g	0.0253477	0.00146105	0.0610359	0.196722	0.148753	0.303631	0.0669639	0.00936349	0.186722
o	0.0929681	0.00633086	0.0307498	0.036602	0.0400046	0.499952	0.0772468	0.117411	0.0987344
í	0.00449076	0.000525276	0.054944	0.0100322	0.168476	0.0496371	0.34837	0.0591231	0.304402
b	0.0327049	0.00639875	0.137824	0.0619813	0.142292	0.0158582	0.270863	0.0421251	0.289953
a	0.00284258	0.0183132	0.0744087	0.100545	0.384535	0.00962876	0.132497	0.0494005	0.227829
á	0.000788155	0.00190692	0.0184394	0.0459131	0.211367	0.0200875	0.0569012	0.0240967	0.6205
</S>	0.00687699	0.00516327	0.0656698	0.00944966	0.150674	0.00311749	0.11665	0.127025	0.515373
