 	le	gambea	est	un	fruit	rouge	</S>
i	0.96202	0.033494	0.0016902	0.000552281	0.0019974	0.000173139	7.34412e-05
b	0.0832614	0.911793	0.00382948	0.000777544	0.000189353	4.08779e-05	0.000107934
a	0.0678052	0.925328	0.00508404	0.000858224	0.000227819	0.000362789	0.000333767
a	0.22847	0.720388	0.0153544	0.00572315	0.00343358	0.00242157	0.0242097
m	0.693585	0.09562	0.141419	0.0184778	0.00643113	0.000237154	0.0442304
í	0.457285	0.160885	0.287541	0.0324834	0.0183982	0.0169576	0.0264492
í	0.311427	0.0654014	0.511284	0.048386	0.0106279	0.007951	0.0449226
d	0.027397	0.00996903	0.499258	0.355027	0.0799595	0.00263482	0.0257545
í	0.00241946	0.0035211	0.181628	0.622045	0.0714611	0.00864069	0.110285
e	0.00320773	0.0016199	0.136151	0.397648	0.19054	0.0385396	0.232293
b	0.00253138	0.00405449	0.0646432	0.668531	0.153855	0.0505522	0.0558332
v	0.00401417	0.0292089	0.0586596	0.794901	0.0445286	0.0241994	0.0444881
u	0.00578757	0.0215768	0.0489144	0.561436	0.311645	0.0252597	0.0253801
m	0.00314701	0.00302595	0.0432188	0.419279	0.218719	0.0409058	0.271704
á	0.0219231	0.00163253	0.0794538	0.159735	0.603208	0.0290127	0.105035
y	0.0153784	0.00168292	0.0261172	0.150901	0.323132	0.349614	0.133175
á	0.0214707	0.00126127	0.0210673	0.108352	0.156783	0.554558	0.136508
t	0.00206453	0.000195433	0.000999372	0.0096802	0.0337112	0.902301	0.0510481
s	0.00104955	0.00259797	0.00952426	0.0417687	0.0258252	0.837393	0.0818413
ω	0.000268208	0.000653069	0.00194779	0.0491486	0.0484867	0.845435	0.0540609
</S>	0.000389422	0.000412681	0.00737446	0.0804882	0.0891737	0.392742	0.429419
