 	je	n'	ai	rien	à	faire	</S>
n	0.720404	0.196588	0.00732335	0.00635504	0.0128535	0.05121	0.00526637
g	0.951395	0.0176736	0.0210175	0.00401901	0.00226519	0.00240689	0.00122289
á	0.834317	0.0600221	0.0715956	0.0250489	0.00406614	0.00354199	0.00140766
i	0.0521669	0.269042	0.189607	0.128154	0.151871	0.121327	0.0878312
d	0.0223558	0.329484	0.146012	0.180836	0.0642046	0.0454941	0.211613
í	0.073682	0.407565	0.225651	0.0672189	0.0154299	0.00678519	0.203668
i	0.0255484	0.119905	0.252639	0.178592	0.24488	0.048149	0.130287
b	0.0220173	0.138555	0.137294	0.260602	0.12521	0.105944	0.210378
h	0.00139015	0.0870758	0.0278562	0.11319	0.0960712	0.364904	0.309512
ώ	6.54821e-05	0.0137159	0.00327725	0.155884	0.190116	0.279737	0.357204
ω	0.00048788	0.0140935	0.0125803	0.0940585	0.30659	0.396171	0.176019
l	0.000208953	0.00681081	0.0184866	0.0580093	0.366481	0.267098	0.282905
á	0.00150366	0.0098649	0.0393259	0.109428	0.134579	0.271346	0.433953
i	0.0296456	0.0228849	0.228328	0.0448775	0.187091	0.225483	0.261689
k	0.000456056	0.00383981	0.0127227	0.0375609	0.123325	0.381093	0.441002
y	5.2503e-06	0.000876902	0.000995468	0.0402529	0.100677	0.620159	0.237034
a	6.78251e-05	0.00318038	0.00479066	0.0442757	0.155657	0.583419	0.208609
k	0.000251958	0.00199375	0.00684401	0.0214635	0.146558	0.292511	0.530378
a	0.000517123	0.00191707	0.00334687	0.0100438	0.0720009	0.343819	0.568355
á	0.000237064	0.00062386	0.00178389	0.00366754	0.0214382	0.259094	0.713156
</S>	0.00224574	0.0146515	0.0379851	0.0234294	0.0923985	0.0860461	0.743244
