 	cette	manière	d'	entasser	le	bois	est	celle	de	celui	qui	fume	le	poisson	</S>
e	0.176522	0.594543	0.162699	0.0436808	0.0113749	0.00483832	0.00128828	0.000615098	0.00129347	0.000583339	0.000741192	0.000473432	0.000620721	8.26054e-05	0.000642964
k	0.00143061	0.00390499	0.00404842	0.902206	0.0571145	0.00622096	0.000989582	0.00118044	0.00142359	0.00117122	0.00366315	0.0130207	0.00116921	0.00132054	0.00113568
ó	0.00303074	0.00163854	0.00277614	0.790618	0.0714016	0.0571784	0.00510592	0.00855886	0.0110897	0.00764698	0.00638203	0.0279508	0.00190037	0.00323924	0.00148269
n	0.00208512	0.00878467	0.00238834	0.252319	0.403386	0.166877	0.0133178	0.00740125	0.0241682	0.0291611	0.0260299	0.043505	0.0122007	0.00420748	0.00416872
g	0.0711829	0.0164458	0.0047429	0.117214	0.262106	0.0689792	0.0458652	0.0310152	0.0356701	0.0985581	0.0707225	0.124547	0.0200363	0.00838737	0.0245272
í	0.214153	0.0909267	0.0166907	0.100011	0.182095	0.0665113	0.0450737	0.0345904	0.0236624	0.0384201	0.027968	0.05578	0.0108001	0.00812424	0.085193
s	0.0238105	0.0329292	0.0327166	0.023416	0.174956	0.0863385	0.106982	0.0885523	0.0552848	0.0441109	0.0495683	0.0232621	0.0363519	0.0167154	0.205006
í	0.0795099	0.0364322	0.0133897	0.0688645	0.234538	0.0301424	0.0500621	0.0371191	0.013818	0.02663	0.0472198	0.0570786	0.03118	0.0558002	0.218215
l	0.186975	0.0704742	0.0568634	0.0554574	0.0684855	0.0724147	0.0535025	0.0596702	0.0764003	0.0509707	0.0494102	0.032142	0.0421619	0.0215183	0.103554
í	0.144169	0.133933	0.144561	0.0271835	0.043125	0.0157187	0.0160502	0.0112082	0.00400332	0.00604638	0.0119275	0.0170369	0.010373	0.0218667	0.392798
y	0.0763009	0.156339	0.344923	0.12643	0.0868169	0.0301377	0.0188348	0.0237686	0.0221838	0.0147067	0.0259106	0.010756	0.0258672	0.00861919	0.0284054
á	0.135923	0.212371	0.215024	0.118089	0.0896915	0.0147284	0.0144762	0.0380015	0.0116295	0.0147023	0.0190677	0.0205523	0.0151047	0.0329533	0.0476867
k	0.101437	0.063573	0.281438	0.180061	0.0664723	0.0225222	0.0162698	0.0619768	0.0275316	0.0353316	0.0240877	0.0286098	0.0185607	0.0280354	0.0440928
ó	0.00228264	0.00119064	0.0306237	0.663224	0.0940816	0.149284	0.0101306	0.0122678	0.00582245	0.00392134	0.00204042	0.0121385	0.00117502	0.00615334	0.00566345
n	0.000858197	0.00239194	0.0384198	0.136799	0.342957	0.322688	0.0305157	0.016408	0.01916	0.0111601	0.0156947	0.0160385	0.0086479	0.00496164	0.0332995
y	0.0161134	0.0313712	0.0385649	0.159069	0.139103	0.181623	0.0479315	0.0390058	0.03366	0.0415072	0.0244778	0.057944	0.0116891	0.00759574	0.170344
i	0.0398012	0.0505864	0.0699779	0.209732	0.22013	0.187863	0.042636	0.0241162	0.0100091	0.00930617	0.00866891	0.0338607	0.0054529	0.00602319	0.0818362
y	0.00371347	0.0126745	0.0892382	0.0756913	0.225819	0.318297	0.118938	0.0557329	0.0389087	0.0169342	0.0234665	0.00760574	0.00680471	0.00109643	0.00507922
é	0.083938	0.0766552	0.121054	0.0332482	0.0973949	0.129179	0.123558	0.171113	0.0867963	0.03357	0.0180052	0.0052832	0.00701292	0.00853039	0.00466222
y	0.0125411	0.0159574	0.0841943	0.016725	0.0348224	0.0625278	0.205651	0.188836	0.219084	0.0772396	0.0565552	0.00734365	0.0108347	0.00349256	0.00419483
á	0.0594799	0.056077	0.141472	0.0968587	0.098886	0.0760423	0.0718749	0.17349	0.0631954	0.0551158	0.0285757	0.0252645	0.00793089	0.0283926	0.0173441
m	0.0077407	0.00817252	0.061697	0.0195686	0.0132944	0.0154906	0.0809095	0.242018	0.193262	0.21277	0.0895097	0.0253535	0.011681	0.0155922	0.0029405
o	0.00458439	0.00235904	0.0120397	0.00719241	0.0495634	0.0339806	0.216493	0.340958	0.120773	0.129641	0.0276576	0.0242166	0.00531266	0.0070747	0.0181537
