 	ce	travail	me	fatigue	</S>
i	0.791216	0.199222	0.00833624	0.000779222	0.000445955
s	0.0465966	0.939402	0.00526422	0.00703436	0.00170297
á	0.0597821	0.930712	0.00261024	0.000441971	0.0064536
l	0.0593328	0.824318	0.0173089	0.00477839	0.0942616
a	0.25727	0.498345	0.056162	0.0225658	0.165657
d	0.631701	0.212295	0.0957436	0.00756314	0.0526971
í	0.212129	0.318308	0.0894153	0.00110944	0.379038
l	0.290915	0.38995	0.197564	0.0297594	0.0918112
í	0.0687015	0.101146	0.118272	0.00958895	0.702291
i	0.334859	0.149058	0.320574	0.0932385	0.102271
k	0.00707444	0.0804188	0.0440622	0.775038	0.0934069
ώ	0.00152586	0.0103874	0.00170216	0.954277	0.0321076
b	0.0057276	0.020623	0.0262	0.876533	0.0709165
h	0.210423	0.0951685	0.185591	0.190402	0.318416
ώ	0.0662044	0.0321693	0.0965466	0.55306	0.25202
s	0.0236091	0.00368679	0.395565	0.124629	0.45251
ώ	0.0315868	0.0815801	0.242875	0.11575	0.528208
n	0.0185464	0.0293638	0.42241	0.0786866	0.450993
g	0.00894375	0.0165694	0.901396	0.0104519	0.0626388
á	0.00355858	0.00923033	0.877815	0.00365707	0.105739
</S>	0.0636616	0.00828918	0.0925117	0.0760968	0.759441
