 	il	n'	y	a	pas	d'	acheteur	pour	ces	marchandises	</S>
b	0.0496186	0.0718724	0.11444	0.0583664	0.085578	0.187578	0.364407	0.0259739	0.0277189	0.000797922	0.0136492
e	0.0963754	0.0374395	0.0143147	0.0597154	0.0897182	0.43495	0.174054	0.00857102	0.0335104	0.0395916	0.01176
a	0.0808394	0.0750646	0.00793112	0.0345449	0.0344951	0.243451	0.349929	0.040956	0.0483239	0.0255503	0.0589144
b	0.0371665	0.150671	0.105221	0.0980019	0.0460653	0.0721472	0.134542	0.0427833	0.0646132	0.0611234	0.187665
í	0.0707171	0.101023	0.0534868	0.117779	0.103813	0.289673	0.142596	0.0214822	0.027062	0.0124876	0.0598809
í	0.0331353	0.107815	0.0781679	0.118701	0.0704856	0.126085	0.115681	0.0295536	0.0375565	0.00397603	0.278842
d	0.0128259	0.143662	0.213467	0.162197	0.0612087	0.03051	0.0224231	0.119654	0.0403344	0.0334	0.160318
í	0.00829385	0.0305555	0.0521271	0.114871	0.0504241	0.0136197	0.00128464	0.069488	0.0166061	0.0785898	0.56414
o	0.0103503	0.0549989	0.0844999	0.119492	0.126867	0.100011	0.00789021	0.127887	0.121498	0.0190723	0.227433
s	0.00096914	0.00399865	0.0108576	0.0250913	0.0607832	0.0316695	0.0107854	0.170087	0.0356758	0.61432	0.035762
ó	0.000484227	0.0024359	0.00659559	0.00637918	0.00589745	0.00210707	0.000767653	0.0215993	0.0106311	0.895971	0.0471315
m	0.00129037	0.00798647	0.0307554	0.0268925	0.0217767	0.0142569	0.00109984	0.0843096	0.0288106	0.598785	0.184037
b	0.00338968	0.00690404	0.0385638	0.0459235	0.0909203	0.0987325	0.000808162	0.113322	0.300813	0.208727	0.0918951
i	0.0113033	0.0180978	0.0182872	0.0806296	0.234817	0.314584	0.0106227	0.192599	0.0358215	0.0116269	0.0716107
k	0.00370022	0.0059165	0.0109432	0.0297648	0.0464798	0.0786989	0.00700831	0.128423	0.313938	0.0122956	0.362831
a	0.0043774	0.0286186	0.0322918	0.0310569	0.0997442	0.0743444	0.0966126	0.185258	0.255834	0.0111144	0.180748
á	0.000366189	0.00310742	0.0045471	0.0103251	0.0244123	0.0294318	0.0389985	0.0730528	0.0582206	0.00457068	0.752968
</S>	0.0072553	0.0104401	0.00914349	0.0252635	0.0155135	0.0138875	0.00589573	0.059107	0.180703	0.0343441	0.638447
