 	j'	ai	enlevé	un	peu	de	la	pâte	d'	arachide	de	l'	assiette	</S>
n	0.768157	0.0364318	0.00539321	0.0219442	0.0122879	0.01512	0.0333201	0.057176	0.0178651	0.0059746	0.0173501	0.00854797	0.000260429	0.000171886
g	0.93784	0.0271223	0.000287216	0.000939585	0.00155462	0.00323467	0.00340777	0.000614134	0.00224003	0.0103232	0.00232733	0.00510295	0.00488628	0.00012047
á	0.729215	0.0430796	0.00391949	0.00356124	0.0032148	0.00502953	0.00865131	0.00473148	0.00413905	0.123439	0.00657096	0.00394866	0.0603232	0.00017639
í	0.0268437	0.656157	0.0462939	0.0201331	0.0260108	0.0235586	0.0353195	0.0117482	0.0116178	0.0197914	0.0101656	0.019637	0.00588776	0.0868356
b	0.0402104	0.585454	0.219266	0.033973	0.0122817	0.00867465	0.00766605	0.00180193	0.00203463	0.00405417	0.00382705	0.00174656	0.00985353	0.0691559
ω	0.000150364	0.00857689	0.957364	0.0188802	0.00497545	0.00296712	0.00226245	0.0014438	0.000654684	0.000250407	0.000648755	0.00026416	2.77375e-05	0.00153376
ω	0.00686066	0.11931	0.179317	0.145513	0.0974304	0.0639414	0.163184	0.117653	0.0341264	0.0323035	0.0162292	0.00537211	0.00204443	0.0167153
r	0.00882075	0.0158046	0.0117269	0.120493	0.15083	0.206919	0.251889	0.0426206	0.0895	0.0222572	0.0173664	0.0295452	0.0302091	0.00201807
i	0.0100558	0.0537751	0.0176572	0.0432289	0.116407	0.135808	0.12083	0.0640863	0.126448	0.104684	0.0511133	0.12741	0.0136752	0.014821
e	0.00622365	0.0325031	0.00250242	0.0377192	0.0912668	0.162475	0.122684	0.0507075	0.162406	0.0975639	0.05347	0.102238	0.066595	0.0116443
m	6.5421e-05	0.00285936	0.00970129	0.0983322	0.1341	0.128246	0.0912477	0.135585	0.0478755	0.162825	0.0971994	0.0161445	0.017934	0.0578847
b	0.000571995	0.0189776	0.0209483	0.0857979	0.204493	0.320559	0.042492	0.0121614	0.0264143	0.0396999	0.0945273	0.0228737	0.00139936	0.109084
ώ	5.03348e-05	0.00506387	0.0872315	0.0521298	0.195132	0.193714	0.0410057	0.0218896	0.0229451	0.126692	0.197611	0.0430182	0.00205708	0.0114592
t	9.22312e-06	0.00723732	0.0430637	0.0714772	0.164395	0.194413	0.0797987	0.0146261	0.097306	0.0499881	0.204873	0.0220067	0.000326788	0.0504794
ώ	0.000103235	0.000906017	0.00106893	0.023288	0.0517566	0.0518181	0.0837052	0.244515	0.164422	0.125245	0.154132	0.0302922	0.00232224	0.0664259
s	9.02401e-05	0.00166809	0.000625915	0.0136417	0.0271776	0.0357262	0.0434084	0.0421532	0.234976	0.0466784	0.279348	0.196005	0.0158362	0.0626654
á	0.000151301	0.00127082	0.000699001	0.00716663	0.0251943	0.0313198	0.0329937	0.0357871	0.0742059	0.135031	0.293909	0.142539	0.0326645	0.187068
s	0.00284141	0.00182476	3.13762e-05	0.000622118	0.00108749	0.00279874	0.00235736	0.00302673	0.035512	0.0464869	0.198055	0.554497	0.124385	0.026474
a	0.000670035	0.000312378	2.47423e-05	0.000294821	0.000899721	0.0025327	0.00197905	0.0006564	0.0117938	0.0352113	0.0838968	0.607681	0.224954	0.0290935
á	0.000121827	0.0010094	4.86556e-06	0.000253939	0.000745077	0.00178682	0.00164072	0.000753583	0.0182074	0.0229088	0.163768	0.541083	0.0112864	0.23643
n	0.000187491	0.00383289	0.000679582	0.00424303	0.00545751	0.00774845	0.0055505	0.00243818	0.0203463	0.0149849	0.103928	0.130492	0.214185	0.485927
i	0.00204943	0.0029534	3.68298e-05	0.000365116	0.00146085	0.003646	0.00306738	0.000615564	0.011159	0.0249169	0.03104	0.0877434	0.713641	0.117306
</S>	7.56601e-05	0.00188015	0.000164256	0.0011943	0.0037907	0.00715545	0.00849598	0.00358584	0.0236044	0.014882	0.0997228	0.0361675	0.0530492	0.746232
